system:time_start,tmean
"Jan 1, 2001",-1
"Jan 2, 2001",-2.065
"Jan 3, 2001",1.478
"Jan 4, 2001",3.07
"Jan 5, 2001",4.263
"Jan 6, 2001",2.803
"Jan 7, 2001",-0.614
"Jan 8, 2001",-0.932
"Jan 9, 2001",-2.185
"Jan 10, 2001",-4.032
"Jan 11, 2001",-1.761
"Jan 12, 2001",-3.767
"Jan 13, 2001",-8.146
"Jan 14, 2001",-8.297
"Jan 15, 2001",-6.842
"Jan 16, 2001",-8.548
"Jan 17, 2001",-9.914
"Jan 18, 2001",-7.491
"Jan 19, 2001",-5.112
"Jan 20, 2001",-6.303
"Jan 21, 2001",-2.13
"Jan 22, 2001",0.604
"Jan 23, 2001",-2.612
"Jan 24, 2001",-1.558
"Jan 25, 2001",-7.34
"Jan 26, 2001",-5.439
"Jan 27, 2001",-5.349
"Jan 28, 2001",-8.22
"Jan 29, 2001",-6.876
"Jan 30, 2001",-9.421
"Jan 31, 2001",-9.144
"Feb 1, 2001",-7.516
"Feb 2, 2001",-2.059
"Feb 3, 2001",0.851
"Feb 4, 2001",2.616
"Feb 5, 2001",3.514
"Feb 6, 2001",1.913
"Feb 7, 2001",0.363
"Feb 8, 2001",-6.701
"Feb 9, 2001",-7.671
"Feb 10, 2001",-3.076
"Feb 11, 2001",-4.254
"Feb 12, 2001",-1.425
"Feb 13, 2001",-0.496
"Feb 14, 2001",-7.613
"Feb 15, 2001",-6.493
"Feb 16, 2001",-2.921
"Feb 17, 2001",0.489
"Feb 18, 2001",0.675
"Feb 19, 2001",1.236
"Feb 20, 2001",0.901
"Feb 21, 2001",0.999
"Feb 22, 2001",1.537
"Feb 23, 2001",-4.363
"Feb 24, 2001",-4.979
"Feb 25, 2001",-3.373
"Feb 26, 2001",-2.476
"Feb 27, 2001",-1.099
"Feb 28, 2001",-4.339
"Mar 1, 2001",-2.996
"Mar 2, 2001",-2.536
"Mar 3, 2001",-2.828
"Mar 4, 2001",-0.408
"Mar 5, 2001",5.043
"Mar 6, 2001",4.02
"Mar 7, 2001",1.104
"Mar 8, 2001",2.822
"Mar 9, 2001",2.246
"Mar 10, 2001",-2.616
"Mar 11, 2001",-5.001
"Mar 12, 2001",-0.764
"Mar 13, 2001",1.829
"Mar 14, 2001",-2.241
"Mar 15, 2001",-4.077
"Mar 16, 2001",-1.08
"Mar 17, 2001",-3.285
"Mar 18, 2001",-0.987
"Mar 19, 2001",3.395
"Mar 20, 2001",6.836
"Mar 21, 2001",8.474
"Mar 22, 2001",6.661
"Mar 23, 2001",6.807
"Mar 24, 2001",5.183
"Mar 25, 2001",6.933
"Mar 26, 2001",5.16
"Mar 27, 2001",2.668
"Mar 28, 2001",1.266
"Mar 29, 2001",1.553
"Mar 30, 2001",2.404
"Mar 31, 2001",5.106
"Apr 1, 2001",7.775
"Apr 2, 2001",7.489
"Apr 3, 2001",7.557
"Apr 4, 2001",6.88
"Apr 5, 2001",4.159
"Apr 6, 2001",-0.425
"Apr 7, 2001",1.391
"Apr 8, 2001",1.067
"Apr 9, 2001",1.864
"Apr 10, 2001",-1.916
"Apr 11, 2001",-1.01
"Apr 12, 2001",-2.226
"Apr 13, 2001",0.76
"Apr 14, 2001",4.659
"Apr 15, 2001",7.535
"Apr 16, 2001",9.384
"Apr 17, 2001",11.243
"Apr 18, 2001",11.978
"Apr 19, 2001",10.398
"Apr 20, 2001",6.24
"Apr 21, 2001",2.789
"Apr 22, 2001",-0.132
"Apr 23, 2001",2.525
"Apr 24, 2001",7.61
"Apr 25, 2001",10.701
"Apr 26, 2001",12.192
"Apr 27, 2001",10.584
"Apr 28, 2001",9.811
"Apr 29, 2001",10.917
"Apr 30, 2001",12.149
"May 1, 2001",14.246
"May 2, 2001",7.524
"May 3, 2001",0.236
"May 4, 2001",0.747
"May 5, 2001",4.657
"May 6, 2001",7.496
"May 7, 2001",10.083
"May 8, 2001",12.568
"May 9, 2001",14.162
"May 10, 2001",14.407
"May 11, 2001",14.101
"May 12, 2001",14.189
"May 13, 2001",11.686
"May 14, 2001",11.629
"May 15, 2001",13.307
"May 16, 2001",15.131
"May 17, 2001",12.809
"May 18, 2001",13.615
"May 19, 2001",9.378
"May 20, 2001",11.233
"May 21, 2001",8.075
"May 22, 2001",11.436
"May 23, 2001",14.505
"May 24, 2001",16.312
"May 25, 2001",16.662
"May 26, 2001",17.493
"May 27, 2001",16.794
"May 28, 2001",15.001
"May 29, 2001",13.906
"May 30, 2001",15.396
"May 31, 2001",15.594
"Jun 1, 2001",16.75
"Jun 2, 2001",17.434
"Jun 3, 2001",14.563
"Jun 4, 2001",11.895
"Jun 5, 2001",13.479
"Jun 6, 2001",17.52
"Jun 7, 2001",19.518
"Jun 8, 2001",19.559
"Jun 9, 2001",19.108
"Jun 10, 2001",19.202
"Jun 11, 2001",18.384
"Jun 12, 2001",15.01
"Jun 13, 2001",6.042
"Jun 14, 2001",7.316
"Jun 15, 2001",13.559
"Jun 16, 2001",18.078
"Jun 17, 2001",19.124
"Jun 18, 2001",19.457
"Jun 19, 2001",19.146
"Jun 20, 2001",19.903
"Jun 21, 2001",20.08
"Jun 22, 2001",20.208
"Jun 23, 2001",19.307
"Jun 24, 2001",18.145
"Jun 25, 2001",18.859
"Jun 26, 2001",13.561
"Jun 27, 2001",16.072
"Jun 28, 2001",19.596
"Jun 29, 2001",20.331
"Jun 30, 2001",21.164
"Jul 1, 2001",20.14
"Jul 2, 2001",21.155
"Jul 3, 2001",20.233
"Jul 4, 2001",21.072
"Jul 5, 2001",22.196
"Jul 6, 2001",20.08
"Jul 7, 2001",18.92
"Jul 8, 2001",19.073
"Jul 9, 2001",18.65
"Jul 10, 2001",17.2
"Jul 11, 2001",17.46
"Jul 12, 2001",18.758
"Jul 13, 2001",18.855
"Jul 14, 2001",16.511
"Jul 15, 2001",15.935
"Jul 16, 2001",16.703
"Jul 17, 2001",16.737
"Jul 18, 2001",17.396
"Jul 19, 2001",18.538
"Jul 20, 2001",18.256
"Jul 21, 2001",19.058
"Jul 22, 2001",19.782
"Jul 23, 2001",20.451
"Jul 24, 2001",18.596
"Jul 25, 2001",17.762
"Jul 26, 2001",16.282
"Jul 27, 2001",17.993
"Jul 28, 2001",20.736
"Jul 29, 2001",21.322
"Jul 30, 2001",17.789
"Jul 31, 2001",17.248
"Aug 1, 2001",17.065
"Aug 2, 2001",17.911
"Aug 3, 2001",17.947
"Aug 4, 2001",17.784
"Aug 5, 2001",18.984
