system:time_start,tmean
"Jan 1, 2016",-5.32
"Jan 2, 2016",-0.887
"Jan 3, 2016",2.414
"Jan 4, 2016",-0.463
"Jan 5, 2016",-2.026
"Jan 6, 2016",-3.216
"Jan 7, 2016",-5.462
"Jan 8, 2016",-6.966
"Jan 9, 2016",-7.56
"Jan 10, 2016",-9.431
"Jan 11, 2016",-7.408
"Jan 12, 2016",-0.432
"Jan 13, 2016",2.286
"Jan 14, 2016",-4.258
"Jan 15, 2016",-6.748
"Jan 16, 2016",-4.577
"Jan 17, 2016",-2.369
"Jan 18, 2016",0.546
"Jan 19, 2016",-2.032
"Jan 20, 2016",-4.313
"Jan 21, 2016",-3.56
"Jan 22, 2016",3.162
"Jan 23, 2016",3.589
"Jan 24, 2016",-3.392
"Jan 25, 2016",-7.43
"Jan 26, 2016",-6.177
"Jan 27, 2016",1.935
"Jan 28, 2016",4.141
"Jan 29, 2016",3.861
"Jan 30, 2016",2.268
"Jan 31, 2016",0.786
"Feb 1, 2016",-6.575
"Feb 2, 2016",-12.409
"Feb 3, 2016",-12.314
"Feb 4, 2016",-9.396
"Feb 5, 2016",-6.247
"Feb 6, 2016",-0.831
"Feb 7, 2016",2.432
"Feb 8, 2016",4.357
"Feb 9, 2016",6.003
"Feb 10, 2016",6.424
"Feb 11, 2016",6.728
"Feb 12, 2016",8.084
"Feb 13, 2016",6.538
"Feb 14, 2016",2.973
"Feb 15, 2016",2.593
"Feb 16, 2016",6.463
"Feb 17, 2016",6.667
"Feb 18, 2016",5.317
"Feb 19, 2016",4.378
"Feb 20, 2016",5.98
"Feb 21, 2016",4.857
"Feb 22, 2016",0.248
"Feb 23, 2016",-6.085
"Feb 24, 2016",-2.425
"Feb 25, 2016",3.611
"Feb 26, 2016",5.127
"Feb 27, 2016",6.896
"Feb 28, 2016",5.793
"Feb 29, 2016",5.146
"Mar 1, 2016",6.023
"Mar 2, 2016",6.595
"Mar 3, 2016",7.121
"Mar 4, 2016",7.005
"Mar 5, 2016",6.998
"Mar 6, 2016",1.207
"Mar 7, 2016",-0.843
"Mar 8, 2016",-0.028
"Mar 9, 2016",1.384
"Mar 10, 2016",5.422
"Mar 11, 2016",8.136
"Mar 12, 2016",-0.141
"Mar 13, 2016",2.286
"Mar 14, 2016",3.405
"Mar 15, 2016",1.164
"Mar 16, 2016",2.823
"Mar 17, 2016",4.461
"Mar 18, 2016",5.067
"Mar 19, 2016",4.721
"Mar 20, 2016",5.526
"Mar 21, 2016",8.922
"Mar 22, 2016",2.049
"Mar 23, 2016",-2.214
"Mar 24, 2016",-0.058
"Mar 25, 2016",2.7
"Mar 26, 2016",-2.27
"Mar 27, 2016",0.763
"Mar 28, 2016",5.426
"Mar 29, 2016",-2.279
"Mar 30, 2016",-3.59
"Mar 31, 2016",-1.104
"Apr 1, 2016",0.447
"Apr 2, 2016",2.498
"Apr 3, 2016",6.384
"Apr 4, 2016",8.652
"Apr 5, 2016",6.748
"Apr 6, 2016",6.406
"Apr 7, 2016",9.186
"Apr 8, 2016",5.29
"Apr 9, 2016",5.705
"Apr 10, 2016",4.238
"Apr 11, 2016",3.427
"Apr 12, 2016",5.461
"Apr 13, 2016",7.613
"Apr 14, 2016",8.606
"Apr 15, 2016",2.343
"Apr 16, 2016",-0.387
"Apr 17, 2016",0.305
"Apr 18, 2016",0.828
"Apr 19, 2016",3.37
"Apr 20, 2016",8.495
"Apr 21, 2016",10.514
"Apr 22, 2016",11.903
"Apr 23, 2016",7.613
"Apr 24, 2016",5.678
"Apr 25, 2016",3.016
"Apr 26, 2016",0.167
"Apr 27, 2016",3.862
"Apr 28, 2016",2.563
"Apr 29, 2016",0.135
"Apr 30, 2016",2.882
"May 1, 2016",2.286
"May 2, 2016",2.049
"May 3, 2016",6.155
"May 4, 2016",11.352
"May 5, 2016",12.994
