system:time_start,tmean
"Jan 1, 1981",2.155
"Jan 2, 1981",2.218
"Jan 3, 1981",2.231
"Jan 4, 1981",1.677
"Jan 5, 1981",-1.853
"Jan 6, 1981",-2.144
"Jan 7, 1981",-1.725
"Jan 8, 1981",-0.881
"Jan 9, 1981",0.415
"Jan 10, 1981",0.089
"Jan 11, 1981",-0.454
"Jan 12, 1981",0.497
"Jan 13, 1981",0.244
"Jan 14, 1981",-0.821
"Jan 15, 1981",-1.25
"Jan 16, 1981",-1.574
"Jan 17, 1981",-1.436
"Jan 18, 1981",-1.802
"Jan 19, 1981",-1.286
"Jan 20, 1981",-1.477
"Jan 21, 1981",-0.198
"Jan 22, 1981",1.872
"Jan 23, 1981",1.467
"Jan 24, 1981",-1.549
"Jan 25, 1981",-5.027
"Jan 26, 1981",-4.889
"Jan 27, 1981",-2.998
"Jan 28, 1981",-1.71
"Jan 29, 1981",-2.551
"Jan 30, 1981",-5.247
"Jan 31, 1981",-9.408
"Feb 1, 1981",-7.434
"Feb 2, 1981",-4.27
"Feb 3, 1981",-4.204
"Feb 4, 1981",-5.193
"Feb 5, 1981",-4.257
"Feb 6, 1981",-4.023
"Feb 7, 1981",-3.087
"Feb 8, 1981",-1.243
"Feb 9, 1981",-4.346
"Feb 10, 1981",-9.274
"Feb 11, 1981",-5.072
"Feb 12, 1981",-2.618
"Feb 13, 1981",1.943
"Feb 14, 1981",1.97
"Feb 15, 1981",1.375
"Feb 16, 1981",3.184
"Feb 17, 1981",3.423
"Feb 18, 1981",4.711
"Feb 19, 1981",5.751
"Feb 20, 1981",-1.395
"Feb 21, 1981",-3.754
"Feb 22, 1981",0.318
"Feb 23, 1981",3.91
"Feb 24, 1981",4.38
"Feb 25, 1981",2.608
"Feb 26, 1981",-1.18
"Feb 27, 1981",-1.253
"Feb 28, 1981",0.146
"Mar 1, 1981",-0.501
"Mar 2, 1981",-1.884
"Mar 3, 1981",-3.863
"Mar 4, 1981",-1.962
"Mar 5, 1981",-1.433
"Mar 6, 1981",-4.161
"Mar 7, 1981",-3.513
"Mar 8, 1981",-2.383
"Mar 9, 1981",-1.329
"Mar 10, 1981",-1.948
"Mar 11, 1981",-1.906
"Mar 12, 1981",-1.556
"Mar 13, 1981",-0.998
"Mar 14, 1981",-3.223
"Mar 15, 1981",0.77
"Mar 16, 1981",1.656
"Mar 17, 1981",-3.15
"Mar 18, 1981",-2.37
"Mar 19, 1981",1.085
"Mar 20, 1981",-2.147
"Mar 21, 1981",-1.053
"Mar 22, 1981",2.605
"Mar 23, 1981",2.483
"Mar 24, 1981",2.677
"Mar 25, 1981",3.462
"Mar 26, 1981",5.682
"Mar 27, 1981",-2.75
"Mar 28, 1981",-4.067
"Mar 29, 1981",0.656
"Mar 30, 1981",-3.209
"Mar 31, 1981",0.032
"Apr 1, 1981",5.746
"Apr 2, 1981",3.516
"Apr 3, 1981",-4.242
"Apr 4, 1981",-2.971
"Apr 5, 1981",1.635
"Apr 6, 1981",6.718
"Apr 7, 1981",5.32
"Apr 8, 1981",6.151
"Apr 9, 1981",9.097
"Apr 10, 1981",8.178
"Apr 11, 1981",8.089
"Apr 12, 1981",6.833
"Apr 13, 1981",7.262
"Apr 14, 1981",6.442
"Apr 15, 1981",6.164
"Apr 16, 1981",9.052
"Apr 17, 1981",10.583
"Apr 18, 1981",7.007
"Apr 19, 1981",4.262
"Apr 20, 1981",5.474
"Apr 21, 1981",7.126
"Apr 22, 1981",6.374
"Apr 23, 1981",8.36
"Apr 24, 1981",11.119
"Apr 25, 1981",12.502
"Apr 26, 1981",12.385
"Apr 27, 1981",9.66
"Apr 28, 1981",11.571
"Apr 29, 1981",13.067
"Apr 30, 1981",14.393
"May 1, 1981",13.151
"May 2, 1981",11.265
"May 3, 1981",7.506
"May 4, 1981",8.453
"May 5, 1981",8.525
"May 6, 1981",7.058
"May 7, 1981",5.824
"May 8, 1981",5.02
"May 9, 1981",4.931
"May 10, 1981",7.454
"May 11, 1981",9.023
"May 12, 1981",8.376
"May 13, 1981",9.13
"May 14, 1981",11.719
"May 15, 1981",6.879
"May 16, 1981",2.645
"May 17, 1981",4.195
"May 18, 1981",9.375
"May 19, 1981",11.088
"May 20, 1981",6.181
"May 21, 1981",7.015
"May 22, 1981",8.515
"May 23, 1981",9.533
"May 24, 1981",10.352
"May 25, 1981",12.354
"May 26, 1981",12.983
"May 27, 1981",12.381
"May 28, 1981",10.712
"May 29, 1981",9.967
"May 30, 1981",11.776
"May 31, 1981",10.74
"Jun 1, 1981",12.144
"Jun 2, 1981",13.56
"Jun 3, 1981",10.405
"Jun 4, 1981",12.404
"Jun 5, 1981",15.297
"Jun 6, 1981",18.465
"Jun 7, 1981",19.832
"Jun 8, 1981",19.928
"Jun 9, 1981",19.141
"Jun 10, 1981",19.415
"Jun 11, 1981",19.33
"Jun 12, 1981",18.692
"Jun 13, 1981",14.764
"Jun 14, 1981",8.552
"Jun 15, 1981",8.403
"Jun 16, 1981",14.052
"Jun 17, 1981",17.179
"Jun 18, 1981",17.861
"Jun 19, 1981",19.041
"Jun 20, 1981",20.927
"Jun 21, 1981",19.722
"Jun 22, 1981",20.594
"Jun 23, 1981",20.502
"Jun 24, 1981",21.617
"Jun 25, 1981",20.742
"Jun 26, 1981",20.401
"Jun 27, 1981",18.82
"Jun 28, 1981",16.838
"Jun 29, 1981",16.693
"Jun 30, 1981",16.791
"Jul 1, 1981",13.758
"Jul 2, 1981",16.048
"Jul 3, 1981",17.124
"Jul 4, 1981",19.319
"Jul 5, 1981",20.677
"Jul 6, 1981",21.375
"Jul 7, 1981",20.055
"Jul 8, 1981",18.668
"Jul 9, 1981",17.211
"Jul 10, 1981",16.936
"Jul 11, 1981",19.061
