date,temp,precip_mm
2000-11-01,-0.156,0
2000-11-02,1.194,0.807
2000-11-03,2.949,5.519
2000-11-04,3.637,10.737
2000-11-05,0.3,0.995
2000-11-06,-3.111,0
2000-11-07,-5.756,0
2000-11-08,-3.998,0
2000-11-09,0.253,0
2000-11-10,-0.382,10.093
2000-11-11,-4.043,8.344
2000-11-12,-7.487,0
2000-11-13,-5.616,0
2000-11-14,-1.146,0
2000-11-15,-4.197,0
2000-11-16,-6.088,0
2000-11-17,-6.127,0
2000-11-18,-6.362,0
2000-11-19,-1.618,0
2000-11-20,0.795,0
2000-11-21,2.618,0
2000-11-22,3.736,3.399
2000-11-23,-1.492,0.731
2000-11-24,0.107,0
2000-11-25,-1.5,0
2000-11-26,1.129,0
2000-11-27,3.666,12.508
2000-11-28,3.645,0
2000-11-29,4.733,0
2000-11-30,1.555,0
2000-12-01,1.267,0
2000-12-02,1.013,0
2000-12-03,0.772,0
2000-12-04,0.556,0
2000-12-05,-0.395,0
2000-12-06,2.381,0
2000-12-07,1.964,0
2000-12-08,0.939,2.082
2000-12-09,-1.213,0
2000-12-10,-1.31,0
2000-12-11,-1.86,0
2000-12-12,-1.337,0
2000-12-13,-3.641,0
2000-12-14,-1.878,0
2000-12-15,-2.461,0
2000-12-16,-2.322,0
2000-12-17,-0.844,0
2000-12-18,-8.307,0
2000-12-19,-3.611,0
2000-12-20,-1.361,0
2000-12-21,-0.376,0
2000-12-22,1.363,0
2000-12-23,1.091,0
2000-12-24,0.795,3.862
2000-12-25,-4.121,30.409
2000-12-26,-7.307,0
2000-12-27,-5.631,0
2000-12-28,-1.404,0
2000-12-29,-2.849,0
2000-12-30,-2.539,0
2000-12-31,-2.896,0
2001-01-01,-2.979,0
2001-01-02,-3.912,0
2001-01-03,-3.376,0
2001-01-04,0.065,0
2001-01-05,1.083,0
2001-01-06,0.677,0
2001-01-07,-0.868,0
2001-01-08,-0.734,0
2001-01-09,-2.377,2.906
2001-01-10,-2.874,0
2001-01-11,-1.162,0.121
2001-01-12,-1.775,11.467
2001-01-13,-9.303,0
2001-01-14,-7.982,0
2001-01-15,-5.885,6.549
2001-01-16,-7.374,3.089
2001-01-17,-11.481,8.088
2001-01-18,-10.638,0
2001-01-19,-8.7,0
2001-01-20,-6.057,0
2001-01-21,-5.025,0
2001-01-22,-2.048,5.642
2001-01-23,-2.405,0
2001-01-24,-2.996,2.065
2001-01-25,-4.856,3.262
2001-01-26,-5.798,4.336
2001-01-27,-4.717,16.564
2001-01-28,-6.293,16.904
2001-01-29,-4.534,0
2001-01-30,-11.361,1.479
2001-01-31,-9.601,0
2001-02-01,-8.414,0
2001-02-02,-3.611,0
2001-02-03,0.431,0
2001-02-04,2.058,0
2001-02-05,3.157,0
2001-02-06,3.657,0
2001-02-07,2.818,4.749
2001-02-08,-6.1,23.137
2001-02-09,-5.787,0
2001-02-10,-2.111,0
2001-02-11,0.981,0
2001-02-12,1.625,0
2001-02-13,1.621,2.497
2001-02-14,-4.267,0
2001-02-15,-4.49,0
2001-02-16,-1.904,0
2001-02-17,1.419,0
2001-02-18,4.16,0
2001-02-19,3.88,0
2001-02-20,5.115,0
2001-02-21,3.547,0
2001-02-22,4.54,0
2001-02-23,-0.953,6.777
2001-02-24,-1.748,0
2001-02-25,1.103,5.851
2001-02-26,0.753,7.279
2001-02-27,1.918,4.796
2001-02-28,-3.328,6.082
2001-03-01,-2.783,0
2001-03-02,-1.102,0
2001-03-03,-3.427,0
2001-03-04,1.288,0
2001-03-05,4.693,0
2001-03-06,4.748,0
2001-03-07,2.439,15.401
2001-03-08,1.828,0
2001-03-09,2.482,0
2001-03-10,-1.921,4.938
2001-03-11,-2.891,8.775
2001-03-12,-0.814,0
2001-03-13,1.408,0
2001-03-14,1.322,0
2001-03-15,-1.22,0
2001-03-16,2.464,5.247
2001-03-17,-0.424,0
2001-03-18,1.25,0
2001-03-19,4.744,0
2001-03-20,7.375,0
2001-03-21,8.317,0
2001-03-22,7.367,0
2001-03-23,6.229,0
2001-03-24,6.922,0
2001-03-25,7.669,0
2001-03-26,6.363,0
2001-03-27,4.399,0
2001-03-28,2.815,0
2001-03-29,3.14,0
2001-03-30,4.129,0
2001-03-31,6.34,0
2001-04-01,8.956,0
2001-04-02,10.2,0
2001-04-03,9.279,0
2001-04-04,8.996,0
2001-04-05,6.49,8.166
2001-04-06,1.195,11.841
2001-04-07,4.583,0
2001-04-08,4.587,0
2001-04-09,5.863,0
2001-04-10,-0.797,6.55
2001-04-11,0.501,1.474
2001-04-12,0.541,0
2001-04-13,3.827,0
2001-04-14,5.956,0
2001-04-15,7.899,0
2001-04-16,9.818,0
2001-04-17,11.04,0
2001-04-18,12.492,0
2001-04-19,12.528,0
2001-04-20,8.496,0
2001-04-21,5.023,9.078
2001-04-22,1.034,5.079
2001-04-23,4.125,0
2001-04-24,8.048,0
2001-04-25,11.27,0
2001-04-26,11.848,0
2001-04-27,10.764,1.207
2001-04-28,10.759,0
2001-04-29,10.782,0
2001-04-30,11.772,0
2001-05-01,12.875,0
2001-05-02,10.296,0.49
2001-05-03,3.782,4.958
2001-05-04,2.849,0.878
2001-05-05,6.498,0
2001-05-06,8.784,0
2001-05-07,10.726,0
2001-05-08,12.411,0
2001-05-09,14.243,0
2001-05-10,14.892,0
2001-05-11,13.821,0
2001-05-12,13.984,0.148
2001-05-13,12.18,15.898
2001-05-14,11.069,9.366
2001-05-15,13.272,0
2001-05-16,15.143,0
2001-05-17,14.33,0
2001-05-18,15.329,0.369
2001-05-19,9.966,12.276
2001-05-20,12.735,0
2001-05-21,9.908,0
2001-05-22,11.586,0
2001-05-23,14.043,0
2001-05-24,15.59,0
2001-05-25,16.433,0
2001-05-26,17.471,0
2001-05-27,16.193,0
2001-05-28,14.394,0
2001-05-29,14.107,0
2001-05-30,15.408,0
2001-05-31,15.22,0
2001-06-01,17.312,0
2001-06-02,17.586,0
2001-06-03,15.592,0
2001-06-04,13.18,0
2001-06-05,14.086,0
2001-06-06,16.639,0
2001-06-07,19.106,0
2001-06-08,19.241,0
2001-06-09,18.649,0
2001-06-10,18.592,0
2001-06-11,18.426,0
2001-06-12,17.624,0.04
2001-06-13,10.216,0
2001-06-14,8.605,0
2001-06-15,13.183,0
2001-06-16,17.142,0
2001-06-17,18.103,0
2001-06-18,18.709,0
2001-06-19,18.856,0
2001-06-20,20.039,0
2001-06-21,19.84,0
2001-06-22,20.056,1.088
2001-06-23,20.697,0
2001-06-24,18.896,0
2001-06-25,19.284,1.122
2001-06-26,14.863,3.355
2001-06-27,16.426,0
2001-06-28,19.416,0
2001-06-29,20.49,0
2001-06-30,21.543,0
2001-07-01,21.453,0
2001-07-02,20.671,0
2001-07-03,20.651,0
2001-07-04,21.416,0
2001-07-05,21.12,0
2001-07-06,19.474,0
2001-07-07,18.782,3.432
2001-07-08,18.577,6.808
2001-07-09,19.184,2.364
2001-07-10,17.223,2.599
2001-07-11,17.807,2.725
2001-07-12,19.311,1.129
2001-07-13,20.068,1.302
2001-07-14,19.047,5.278
2001-07-15,17.692,4.414
2001-07-16,18.086,0
2001-07-17,17.033,0
