Day,WY,month,discharge_cfps,wy_date,E_day,r_day,dishcarge_cmps
1,1992,OCT,1.5,1992-10-01,NA,NA,0.04247526988799999
1,1992,NOV,1.8,1992-11-01,NA,NA,0.050970323865599985
1,1992,DEC,1.7,1992-12-01,NA,NA,0.048138639206399984
1,1992,JAN,1.7,1992-01-01,NA,NA,0.048138639206399984
1,1992,FEB,1.7,1992-02-01,NA,NA,0.048138639206399984
1,1992,MAR,2.1,1992-03-01,NA,NA,0.05946537784319999
1,1992,APR,8.4,1992-04-01,NA,NA,0.23786151137279996
1,1992,MAY,2.8,1992-05-01,NA,NA,0.07928717045759998
1,1992,JUN,2.3,1992-06-01,NA,NA,0.06512874716159997
1,1992,JUL,0.6,1992-07-01,NA,NA,0.016990107955199996
1,1992,AUG,1.3,1992-08-01,NA,NA,0.036811900569599994
1,1992,SEP,1.6,1992-09-01,NA,NA,0.0453069545472
2,1992,OCT,1.5,1992-10-02,NA,NA,0.04247526988799999
2,1992,NOV,1.8,1992-11-02,NA,NA,0.050970323865599985
2,1992,DEC,1.7,1992-12-02,NA,NA,0.048138639206399984
2,1992,JAN,1.5,1992-01-02,NA,NA,0.04247526988799999
2,1992,FEB,1.6,1992-02-02,NA,NA,0.0453069545472
2,1992,MAR,2.1,1992-03-02,NA,NA,0.05946537784319999
2,1992,APR,9.7,1992-04-02,NA,NA,0.2746734119423999
2,1992,MAY,2.5,1992-05-02,NA,NA,0.07079211647999997
2,1992,JUN,2.1,1992-06-02,NA,NA,0.05946537784319999
2,1992,JUL,0.6,1992-07-02,NA,NA,0.016990107955199996
2,1992,AUG,1.1,1992-08-02,NA,NA,0.031148531251199995
2,1992,SEP,1.6,1992-09-02,NA,NA,0.0453069545472
3,1992,OCT,1.5,1992-10-03,NA,NA,0.04247526988799999
3,1992,NOV,1.8,1992-11-03,NA,NA,0.050970323865599985
3,1992,DEC,1.6,1992-12-03,NA,NA,0.0453069545472
3,1992,JAN,1.5,1992-01-03,NA,NA,0.04247526988799999
3,1992,FEB,1.8,1992-02-03,NA,NA,0.050970323865599985
3,1992,MAR,2.7,1992-03-03,NA,NA,0.07645548579839999
3,1992,APR,11.3,1992-04-03,NA,NA,0.31998036648959993
3,1992,MAY,2.5,1992-05-03,NA,NA,0.07079211647999997
3,1992,JUN,1.8,1992-06-03,NA,NA,0.050970323865599985
3,1992,JUL,0.6,1992-07-03,NA,NA,0.016990107955199996
3,1992,AUG,1,1992-08-03,NA,NA,0.028316846591999994
3,1992,SEP,1.6,1992-09-03,NA,NA,0.0453069545472
4,1992,OCT,1.5,1992-10-04,NA,NA,0.04247526988799999
4,1992,NOV,1.9,1992-11-04,NA,NA,0.05380200852479998
4,1992,DEC,1.7,1992-12-04,NA,NA,0.048138639206399984
4,1992,JAN,1.9,1992-01-04,NA,NA,0.05380200852479998
4,1992,FEB,1.8,1992-02-04,NA,NA,0.050970323865599985
4,1992,MAR,2.2,1992-03-04,NA,NA,0.06229706250239999
4,1992,APR,17.6,1992-04-04,NA,NA,0.4983765000191999
4,1992,MAY,2.5,1992-05-04,NA,NA,0.07079211647999997
4,1992,JUN,1.7,1992-06-04,NA,NA,0.048138639206399984
4,1992,JUL,0.6,1992-07-04,NA,NA,0.016990107955199996
4,1992,AUG,1.1,1992-08-04,NA,NA,0.031148531251199995
4,1992,SEP,1.5,1992-09-04,NA,NA,0.04247526988799999
5,1992,OCT,1.4,1992-10-05,NA,NA,0.03964358522879999
5,1992,NOV,1.7,1992-11-05,NA,NA,0.048138639206399984
5,1992,DEC,1.7,1992-12-05,NA,NA,0.048138639206399984
5,1992,JAN,1.9,1992-01-05,NA,NA,0.05380200852479998
5,1992,FEB,1.7,1992-02-05,NA,NA,0.048138639206399984
5,1992,MAR,2.8,1992-03-05,NA,NA,0.07928717045759998
5,1992,APR,23.6,1992-04-05,NA,NA,0.6682775795711999
5,1992,MAY,2.4,1992-05-05,NA,NA,0.06796043182079999
5,1992,JUN,1.7,1992-06-05,NA,NA,0.048138639206399984
5,1992,JUL,0.6,1992-07-05,NA,NA,0.016990107955199996
5,1992,AUG,1.2,1992-08-05,NA,NA,0.03398021591039999
5,1992,SEP,1.5,1992-09-05,NA,NA,0.04247526988799999
6,1992,OCT,1.4,1992-10-06,NA,NA,0.03964358522879999
6,1992,NOV,1.5,1992-11-06,NA,NA,0.04247526988799999
6,1992,DEC,1.7,1992-12-06,NA,NA,0.048138639206399984
6,1992,JAN,1.8,1992-01-06,NA,NA,0.050970323865599985
6,1992,FEB,1.7,1992-02-06,NA,NA,0.048138639206399984
6,1992,MAR,3.5,1992-03-06,NA,NA,0.09910896307199998
6,1992,APR,27.2,1992-04-06,NA,NA,0.7702182273023997
6,1992,MAY,2.8,1992-05-06,NA,NA,0.07928717045759998
6,1992,JUN,1.5,1992-06-06,NA,NA,0.04247526988799999
6,1992,JUL,0.6,1992-07-06,NA,NA,0.016990107955199996
6,1992,AUG,1.5,1992-08-06,NA,NA,0.04247526988799999
6,1992,SEP,1.5,1992-09-06,NA,NA,0.04247526988799999
7,1992,OCT,1.4,1992-10-07,NA,NA,0.03964358522879999
7,1992,NOV,1.5,1992-11-07,NA,NA,0.04247526988799999
7,1992,DEC,1.7,1992-12-07,NA,NA,0.048138639206399984
7,1992,JAN,1.7,1992-01-07,NA,NA,0.048138639206399984
7,1992,FEB,1.7,1992-02-07,NA,NA,0.048138639206399984
7,1992,MAR,3.4,1992-03-07,NA,NA,0.09627727841279997
7,1992,APR,28.6,1992-04-07,NA,NA,0.8098618125311998
7,1992,MAY,3.5,1992-05-07,NA,NA,0.09910896307199998
