"DateTime","(mm) Snow Depth (SNODAS) at -109.0600E,36.3300N, 2003-10-01 to 2020-06-16"
"2003-10-01",0
"2003-10-02",0
"2003-10-03",0
"2003-10-04",0
"2003-10-05",0
"2003-10-06",0
"2003-10-07",0
"2003-10-08",0
"2003-10-09",0
"2003-10-10",0
"2003-10-11",0
"2003-10-12",0
"2003-10-13",0
"2003-10-14",0
"2003-10-15",0
"2003-10-16",0
"2003-10-17",0
"2003-10-18",0
"2003-10-19",0
"2003-10-20",0
"2003-10-21",0
"2003-10-22",0
"2003-10-23",0
"2003-10-24",0
"2003-10-25",0
"2003-10-26",0
"2003-10-27",0
"2003-10-28",0
"2003-10-29",0
"2003-10-31",0
"2003-11-01",0
"2003-11-02",0
"2003-11-03",0
"2003-11-04",0
"2003-11-05",0
"2003-11-06",0
"2003-11-07",0
"2003-11-08",0
"2003-11-09",0
"2003-11-10",0
"2003-11-11",0
"2003-11-12",0
"2003-11-13",0
"2003-11-14",0
"2003-11-15",0
"2003-11-16",0
"2003-11-17",0
"2003-11-18",0
"2003-11-19",0
"2003-11-20",0
"2003-11-21",0
"2003-11-22",0
"2003-11-23",0
"2003-11-24",0
"2003-11-25",0
"2003-11-26",0
"2003-11-27",0
"2003-11-28",0
"2003-11-29",0
"2003-11-30",0
"2003-12-01",0
"2003-12-02",0
"2003-12-03",0
"2003-12-04",0
"2003-12-05",0
"2003-12-06",0
"2003-12-07",0
"2003-12-08",0
"2003-12-09",0
"2003-12-10",0
"2003-12-11",0
"2003-12-12",0
"2003-12-13",0
"2003-12-14",0
"2003-12-15",0
"2003-12-16",0
"2003-12-17",0
"2003-12-18",0
"2003-12-19",0
"2003-12-20",0
"2003-12-21",0
"2003-12-22",0
"2003-12-23",0
"2003-12-24",0
"2003-12-25",0
"2003-12-26",0
"2003-12-27",8
"2003-12-28",9
"2003-12-29",5
"2003-12-30",0
"2003-12-31",0
"2004-01-01",0
"2004-01-02",0
"2004-01-03",1
"2004-01-04",3
"2004-01-05",0
"2004-01-06",0
"2004-01-07",0
"2004-01-08",1
"2004-01-09",0
"2004-01-10",0
"2004-01-11",0
"2004-01-12",0
"2004-01-13",0
"2004-01-14",0
"2004-01-15",0
"2004-01-16",0
"2004-01-17",0
"2004-01-18",0
"2004-01-19",0
"2004-01-20",0
"2004-01-21",5
"2004-01-22",8
"2004-01-23",3
"2004-01-24",0
"2004-01-25",0
"2004-01-26",25
"2004-01-27",16
"2004-01-28",10
"2004-01-29",6
"2004-01-30",0
"2004-01-31",0
"2004-02-01",18
"2004-02-02",8
"2004-02-03",0
"2004-02-04",8
"2004-02-05",4
"2004-02-06",0
"2004-02-07",0
"2004-02-08",0
"2004-02-09",0
"2004-02-10",0
"2004-02-11",0
"2004-02-12",0
"2004-02-13",0
"2004-02-14",0
"2004-02-15",0
"2004-02-16",0
"2004-02-17",0
"2004-02-18",0
"2004-02-19",0
"2004-02-20",0
"2004-02-21",0
"2004-02-22",0
"2004-02-23",0
"2004-02-24",11
"2004-02-26",5
"2004-02-27",0
"2004-02-28",0
"2004-02-29",7
"2004-03-01",0
"2004-03-02",0
"2004-03-03",0
"2004-03-04",0
"2004-03-05",15
"2004-03-06",6
"2004-03-07",0
"2004-03-08",0
"2004-03-09",0
"2004-03-10",0
"2004-03-11",0
"2004-03-12",0
"2004-03-13",0
"2004-03-14",0
"2004-03-15",0
"2004-03-16",0
"2004-03-17",0
"2004-03-18",0
"2004-03-19",0
"2004-03-20",0
"2004-03-21",0
"2004-03-22",0
"2004-03-23",0
"2004-03-24",0
"2004-03-25",0
"2004-03-26",0
"2004-03-27",0
"2004-03-28",0
"2004-03-29",0
"2004-03-30",0
"2004-03-31",0
"2004-04-01",0
"2004-04-02",0
"2004-04-03",0
"2004-04-04",15
"2004-04-05",29
"2004-04-06",28
"2004-04-07",16
"2004-04-08",3
"2004-04-09",3
"2004-04-10",0
"2004-04-11",0
"2004-04-12",0
