Date,waterYear,ppt,tmean,freeze,precip_type,prism_snow_mm,month,prism_snow_mm_accum
1981-01-01,1981,0,2.155,0,rain,0,1,0
1981-01-02,1981,0,2.218,0,rain,0,1,0
1981-01-03,1981,0,2.231,0,rain,0,1,0
1981-01-04,1981,0,1.677,0,rain,0,1,0
1981-01-05,1981,0,-1.853,1,snow,0,1,0
1981-01-06,1981,0,-2.144,1,snow,0,1,0
1981-01-07,1981,0,-1.725,1,snow,0,1,0
1981-01-08,1981,0,-0.881,1,snow,0,1,0
1981-01-09,1981,0,0.415,0,rain,0,1,0
1981-01-10,1981,0,0.089,0,rain,0,1,0
1981-01-11,1981,0.022,-0.454,1,snow,0.022,1,0.022
1981-01-12,1981,0.819,0.497,0,rain,0,1,0.022
1981-01-13,1981,0,0.244,0,rain,0,1,0.022
1981-01-14,1981,0,-0.821,1,snow,0,1,0.022
1981-01-15,1981,0,-1.25,1,snow,0,1,0.022
1981-01-16,1981,0,-1.574,1,snow,0,1,0.022
1981-01-17,1981,0,-1.436,1,snow,0,1,0.022
1981-01-18,1981,0,-1.802,1,snow,0,1,0.022
1981-01-19,1981,0,-1.286,1,snow,0,1,0.022
1981-01-20,1981,0,-1.477,1,snow,0,1,0.022
1981-01-21,1981,0,-0.198,1,snow,0,1,0.022
1981-01-22,1981,0,1.872,0,rain,0,1,0.022
1981-01-23,1981,0,1.467,0,rain,0,1,0.022
1981-01-24,1981,0,-1.549,1,snow,0,1,0.022
1981-01-25,1981,0,-5.027,1,snow,0,1,0.022
1981-01-26,1981,0,-4.889,1,snow,0,1,0.022
1981-01-27,1981,1.374,-2.998,1,snow,1.374,1,1.3960000000000001
1981-01-28,1981,2.463,-1.71,1,snow,2.463,1,3.859
1981-01-29,1981,0.031,-2.551,1,snow,0.031,1,3.89
1981-01-30,1981,9.01,-5.247,1,snow,9.01,1,12.9
1981-01-31,1981,0,-9.408,1,snow,0,1,12.9
1981-02-01,1981,0,-7.434,1,snow,0,2,12.9
1981-02-02,1981,0,-4.27,1,snow,0,2,12.9
1981-02-03,1981,0,-4.204,1,snow,0,2,12.9
1981-02-04,1981,0,-5.193,1,snow,0,2,12.9
1981-02-05,1981,0,-4.257,1,snow,0,2,12.9
1981-02-06,1981,0,-4.023,1,snow,0,2,12.9
1981-02-07,1981,0,-3.087,1,snow,0,2,12.9
1981-02-08,1981,4.578,-1.243,1,snow,4.578,2,17.478
1981-02-09,1981,0.218,-4.346,1,snow,0.218,2,17.696
1981-02-10,1981,0,-9.274,1,snow,0,2,17.696
1981-02-11,1981,0,-5.072,1,snow,0,2,17.696
1981-02-12,1981,0,-2.618,1,snow,0,2,17.696
1981-02-13,1981,0,1.943,0,rain,0,2,17.696
1981-02-14,1981,0,1.97,0,rain,0,2,17.696
1981-02-15,1981,0,1.375,0,rain,0,2,17.696
1981-02-16,1981,0,3.184,0,rain,0,2,17.696
1981-02-17,1981,0,3.423,0,rain,0,2,17.696
1981-02-18,1981,0,4.711,0,rain,0,2,17.696
1981-02-19,1981,0,5.751,0,rain,0,2,17.696
1981-02-20,1981,0,-1.395,1,snow,0,2,17.696
1981-02-21,1981,0,-3.754,1,snow,0,2,17.696
1981-02-22,1981,0,0.318,0,rain,0,2,17.696
1981-02-23,1981,0,3.91,0,rain,0,2,17.696
1981-02-24,1981,0,4.38,0,rain,0,2,17.696
1981-02-25,1981,22.699,2.608,0,rain,0,2,17.696
1981-02-26,1981,0.702,-1.18,1,snow,0.702,2,18.398
1981-02-27,1981,0,-1.253,1,snow,0,2,18.398
1981-02-28,1981,1.269,0.146,0,rain,0,2,18.398
1981-03-01,1981,11.02,-0.501,1,snow,11.02,3,29.418
1981-03-02,1981,78.62,-1.884,1,snow,78.62,3,108.03800000000001
1981-03-03,1981,0.02,-3.863,1,snow,0.02,3,108.058
1981-03-04,1981,0,-1.962,1,snow,0,3,108.058
1981-03-05,1981,4.706,-1.433,1,snow,4.706,3,112.76400000000001
1981-03-06,1981,0,-4.161,1,snow,0,3,112.76400000000001
1981-03-07,1981,0,-3.513,1,snow,0,3,112.76400000000001
1981-03-08,1981,0,-2.383,1,snow,0,3,112.76400000000001
1981-03-09,1981,0,-1.329,1,snow,0,3,112.76400000000001
1981-03-10,1981,6.446,-1.948,1,snow,6.446,3,119.21000000000001
1981-03-11,1981,1.261,-1.906,1,snow,1.261,3,120.471
1981-03-12,1981,0,-1.556,1,snow,0,3,120.471
1981-03-13,1981,7.007,-0.998,1,snow,7.007,3,127.47800000000001
1981-03-14,1981,0.123,-3.223,1,snow,0.123,3,127.601
1981-03-15,1981,0,0.77,0,rain,0,3,127.601
1981-03-16,1981,0,1.656,0,rain,0,3,127.601
1981-03-17,1981,0,-3.15,1,snow,0,3,127.601
1981-03-18,1981,0,-2.37,1,snow,0,3,127.601
1981-03-19,1981,0,1.085,0,rain,0,3,127.601
1981-03-20,1981,3.644,-2.147,1,snow,3.644,3,131.245
1981-03-21,1981,0,-1.053,1,snow,0,3,131.245
1981-03-22,1981,0,2.605,0,rain,0,3,131.245
1981-03-23,1981,0,2.483,0,rain,0,3,131.245
1981-03-24,1981,0,2.677,0,rain,0,3,131.245
1981-03-25,1981,0,3.462,0,rain,0,3,131.245
1981-03-26,1981,1.374,5.682,0,rain,0,3,131.245
1981-03-27,1981,5.024,-2.75,1,snow,5.024,3,136.269
1981-03-28,1981,22.784,-4.067,1,snow,22.784,3,159.053
1981-03-29,1981,6.462,0.656,0,rain,0,3,159.053
1981-03-30,1981,0,-3.209,1,snow,0,3,159.053
1981-03-31,1981,0,0.032,0,rain,0,3,159.053
1981-04-01,1981,0,5.746,0,rain,0,4,0
1981-04-02,1981,3.396,3.516,0,rain,0,4,0
1981-04-03,1981,0,-4.242,1,snow,0,4,0
1981-04-04,1981,0,-2.971,1,snow,0,4,0
1981-04-05,1981,0,1.635,0,rain,0,4,0
1981-04-06,1981,0,6.718,0,rain,0,4,0
1981-04-07,1981,0,5.32,0,rain,0,4,0
1981-04-08,1981,0,6.151,0,rain,0,4,0
1981-04-09,1981,0,9.097,0,rain,0,4,0
1981-04-10,1981,0,8.178,0,rain,0,4,0
1981-04-11,1981,0,8.089,0,rain,0,4,0
1981-04-12,1981,0,6.833,0,rain,0,4,0
1981-04-13,1981,0,7.262,0,rain,0,4,0
1981-04-14,1981,6.577,6.442,0,rain,0,4,0
1981-04-15,1981,5.492,6.164,0,rain,0,4,0
1981-04-16,1981,0,9.052,0,rain,0,4,0
1981-04-17,1981,0.858,10.583,0,rain,0,4,0
1981-04-18,1981,14.592,7.007,0,rain,0,4,0
1981-04-19,1981,0,4.262,0,rain,0,4,0
1981-04-20,1981,0,5.474,0,rain,0,4,0
1981-04-21,1981,0,7.126,0,rain,0,4,0
1981-04-22,1981,0,6.374,0,rain,0,4,0
1981-04-23,1981,0,8.36,0,rain,0,4,0
1981-04-24,1981,0,11.119,0,rain,0,4,0
1981-04-25,1981,0,12.502,0,rain,0,4,0
1981-04-26,1981,0,12.385,0,rain,0,4,0
1981-04-27,1981,0,9.66,0,rain,0,4,0
1981-04-28,1981,0,11.571,0,rain,0,4,0
1981-04-29,1981,0,13.067,0,rain,0,4,0
1981-04-30,1981,0,14.393,0,rain,0,4,0
1981-05-01,1981,3.328,13.151,0,rain,0,5,0
1981-05-02,1981,1.084,11.265,0,rain,0,5,0
1981-05-03,1981,0,7.506,0,rain,0,5,0
1981-05-04,1981,0,8.453,0,rain,0,5,0
1981-05-05,1981,0,8.525,0,rain,0,5,0
1981-05-06,1981,0,7.058,0,rain,0,5,0
1981-05-07,1981,0,5.824,0,rain,0,5,0
1981-05-08,1981,0,5.02,0,rain,0,5,0
1981-05-09,1981,0,4.931,0,rain,0,5,0
1981-05-10,1981,0,7.454,0,rain,0,5,0
1981-05-11,1981,0,9.023,0,rain,0,5,0
1981-05-12,1981,0,8.376,0,rain,0,5,0
1981-05-13,1981,0,9.13,0,rain,0,5,0
1981-05-14,1981,0,11.719,0,rain,0,5,0
1981-05-15,1981,6.245,6.879,0,rain,0,5,0
1981-05-16,1981,7.593,2.645,0,rain,0,5,0
1981-05-17,1981,0,4.195,0,rain,0,5,0
1981-05-18,1981,0,9.375,0,rain,0,5,0
1981-05-19,1981,0,11.088,0,rain,0,5,0
1981-05-20,1981,0,6.181,0,rain,0,5,0
1981-05-21,1981,0,7.015,0,rain,0,5,0
1981-05-22,1981,0,8.515,0,rain,0,5,0
1981-05-23,1981,0,9.533,0,rain,0,5,0
1981-05-24,1981,0,10.352,0,rain,0,5,0
1981-05-25,1981,0,12.354,0,rain,0,5,0
1981-05-26,1981,0,12.983,0,rain,0,5,0
1981-05-27,1981,2.167,12.381,0,rain,0,5,0
1981-05-28,1981,0.576,10.712,0,rain,0,5,0
1981-05-29,1981,3.519,9.967,0,rain,0,5,0
1981-05-30,1981,1.034,11.776,0,rain,0,5,0
1981-05-31,1981,7.289,10.74,0,rain,0,5,0
1981-06-01,1981,0,12.144,0,rain,0,6,0
1981-06-02,1981,0.471,13.56,0,rain,0,6,0
1981-06-03,1981,8.379,10.405,0,rain,0,6,0
1981-06-04,1981,0,12.404,0,rain,0,6,0
1981-06-05,1981,0,15.297,0,rain,0,6,0
1981-06-06,1981,0,18.465,0,rain,0,6,0
1981-06-07,1981,0,19.832,0,rain,0,6,0
1981-06-08,1981,0,19.928,0,rain,0,6,0
1981-06-09,1981,0,19.141,0,rain,0,6,0
1981-06-10,1981,0,19.415,0,rain,0,6,0
1981-06-11,1981,0,19.33,0,rain,0,6,0
1981-06-12,1981,0,18.692,0,rain,0,6,0
1981-06-13,1981,0,14.764,0,rain,0,6,0
1981-06-14,1981,0,8.552,0,rain,0,6,0
1981-06-15,1981,0,8.403,0,rain,0,6,0
1981-06-16,1981,0,14.052,0,rain,0,6,0
1981-06-17,1981,0,17.179,0,rain,0,6,0
1981-06-18,1981,0,17.861,0,rain,0,6,0
1981-06-19,1981,0,19.041,0,rain,0,6,0
1981-06-20,1981,0,20.927,0,rain,0,6,0
1981-06-21,1981,0,19.722,0,rain,0,6,0
1981-06-22,1981,0,20.594,0,rain,0,6,0
1981-06-23,1981,0,20.502,0,rain,0,6,0
1981-06-24,1981,0,21.617,0,rain,0,6,0
1981-06-25,1981,0.017,20.742,0,rain,0,6,0
1981-06-26,1981,0,20.401,0,rain,0,6,0
1981-06-27,1981,1.506,18.82,0,rain,0,6,0
1981-06-28,1981,3.452,16.838,0,rain,0,6,0
1981-06-29,1981,6.221,16.693,0,rain,0,6,0
1981-06-30,1981,23.055,16.791,0,rain,0,6,0
1981-07-01,1981,6.306,13.758,0,rain,0,7,0
1981-07-02,1981,0,16.048,0,rain,0,7,0
1981-07-03,1981,0,17.124,0,rain,0,7,0
1981-07-04,1981,0,19.319,0,rain,0,7,0
1981-07-05,1981,0,20.677,0,rain,0,7,0
1981-07-06,1981,0,21.375,0,rain,0,7,0
1981-07-07,1981,0,20.055,0,rain,0,7,0
1981-07-08,1981,20.695,18.668,0,rain,0,7,0
1981-07-09,1981,1.218,17.211,0,rain,0,7,0
1981-07-10,1981,0,16.936,0,rain,0,7,0
1981-07-11,1981,0.405,19.061,0,rain,0,7,0
1981-07-12,1981,8.69,17.375,0,rain,0,7,0
1981-07-13,1981,3.827,16.453,0,rain,0,7,0
1981-07-14,1981,12.444,17.553,0,rain,0,7,0
1981-07-15,1981,27.298,16.335,0,rain,0,7,0
1981-07-16,1981,17.163,15.033,0,rain,0,7,0
1981-07-17,1981,0,15.032,0,rain,0,7,0
1981-07-18,1981,0,17.627,0,rain,0,7,0
1981-07-19,1981,0,19.94,0,rain,0,7,0
1981-07-20,1981,0,20.833,0,rain,0,7,0
1981-07-21,1981,0,21.187,0,rain,0,7,0
1981-07-22,1981,0,20.272,0,rain,0,7,0
1981-07-23,1981,16.032,19.011,0,rain,0,7,0
1981-07-24,1981,0.917,19.765,0,rain,0,7,0
1981-07-25,1981,0,18.751,0,rain,0,7,0
1981-07-26,1981,0,16.202,0,rain,0,7,0
1981-07-27,1981,0,17.384,0,rain,0,7,0
1981-07-28,1981,0,18.465,0,rain,0,7,0
1981-07-29,1981,0,19.462,0,rain,0,7,0
1981-07-30,1981,0,19.148,0,rain,0,7,0
1981-07-31,1981,1.961,19.144,0,rain,0,7,0
1981-08-01,1981,0,18.002,0,rain,0,8,0
1981-08-02,1981,0,19.264,0,rain,0,8,0
1981-08-03,1981,0,18.861,0,rain,0,8,0
1981-08-04,1981,0,20.508,0,rain,0,8,0
1981-08-05,1981,0,21.171,0,rain,0,8,0
1981-08-06,1981,0,19.892,0,rain,0,8,0
1981-08-07,1981,0,18.821,0,rain,0,8,0
1981-08-08,1981,0,18.722,0,rain,0,8,0
1981-08-09,1981,10.341,17.823,0,rain,0,8,0
1981-08-10,1981,1.683,13.472,0,rain,0,8,0
1981-08-11,1981,1.844,11.987,0,rain,0,8,0
1981-08-12,1981,0,11.784,0,rain,0,8,0
1981-08-13,1981,0,13.333,0,rain,0,8,0
1981-08-14,1981,0,15.272,0,rain,0,8,0
1981-08-15,1981,0,15.403,0,rain,0,8,0
1981-08-16,1981,0,15.683,0,rain,0,8,0
1981-08-17,1981,0,14.703,0,rain,0,8,0
1981-08-18,1981,0,15.022,0,rain,0,8,0
1981-08-19,1981,0,17.44,0,rain,0,8,0
1981-08-20,1981,0,18.507,0,rain,0,8,0
1981-08-21,1981,1.055,18.99,0,rain,0,8,0
1981-08-22,1981,0,13.882,0,rain,0,8,0
1981-08-23,1981,0,17.654,0,rain,0,8,0
1981-08-24,1981,0,18.333,0,rain,0,8,0
1981-08-25,1981,0,18.832,0,rain,0,8,0
1981-08-26,1981,0,18.541,0,rain,0,8,0
1981-08-27,1981,3.892,16.753,0,rain,0,8,0
1981-08-28,1981,0,17.506,0,rain,0,8,0
1981-08-29,1981,8.168,16.629,0,rain,0,8,0
1981-08-30,1981,14.936,17.158,0,rain,0,8,0
1981-08-31,1981,14.07,14.684,0,rain,0,8,0
1981-09-01,1981,0,14.727,0,rain,0,9,0
1981-09-02,1981,0,16.883,0,rain,0,9,0
1981-09-03,1981,0,17.013,0,rain,0,9,0
1981-09-04,1981,36.385,15.357,0,rain,0,9,0
1981-09-05,1981,17.757,11.654,0,rain,0,9,0
1981-09-06,1981,0,11.171,0,rain,0,9,0
1981-09-07,1981,37.748,11.485,0,rain,0,9,0
1981-09-08,1981,8.996,12.15,0,rain,0,9,0
1981-09-09,1981,4.603,12.05,0,rain,0,9,0
1981-09-10,1981,3.507,11.871,0,rain,0,9,0
1981-09-11,1981,0,13.298,0,rain,0,9,0
1981-09-12,1981,0,13.667,0,rain,0,9,0
1981-09-13,1981,0,13.88,0,rain,0,9,0
1981-09-14,1981,4.083,14.345,0,rain,0,9,0
1981-09-15,1981,4.79,13.666,0,rain,0,9,0
1981-09-16,1981,0,13.356,0,rain,0,9,0
1981-09-17,1981,0,13.956,0,rain,0,9,0
1981-09-18,1981,0,14.06,0,rain,0,9,0
1981-09-19,1981,0,14.565,0,rain,0,9,0
1981-09-20,1981,0,15.415,0,rain,0,9,0
1981-09-21,1981,0,15.401,0,rain,0,9,0
1981-09-22,1981,0,14.589,0,rain,0,9,0
1981-09-23,1981,5.802,11.912,0,rain,0,9,0
1981-09-24,1981,0,12.933,0,rain,0,9,0
1981-09-25,1981,0,12.624,0,rain,0,9,0
1981-09-26,1981,0,12.725,0,rain,0,9,0
1981-09-27,1981,0,14.536,0,rain,0,9,0
1981-09-28,1981,0,14.826,0,rain,0,9,0
1981-09-29,1981,0,14.793,0,rain,0,9,0
1981-09-30,1981,0,13.504,0,rain,0,9,0
1981-10-01,1982,12.754,11.538,0,rain,0,10,0
1981-10-02,1982,64.683,8.65,0,rain,0,10,0
1981-10-03,1982,0,7.27,0,rain,0,10,0
1981-10-04,1982,0,8.057,0,rain,0,10,0
1981-10-05,1982,0,8.782,0,rain,0,10,0
1981-10-06,1982,0,10.367,0,rain,0,10,0
1981-10-07,1982,0,10.653,0,rain,0,10,0
1981-10-08,1982,0,8.017,0,rain,0,10,0
1981-10-09,1982,0,7.882,0,rain,0,10,0
1981-10-10,1982,0,9.926,0,rain,0,10,0
1981-10-11,1982,1.909,6.605,0,rain,0,10,0
1981-10-12,1982,1.5,5.932,0,rain,0,10,0
1981-10-13,1982,0,5.487,0,rain,0,10,0
1981-10-14,1982,0.857,4.821,0,rain,0,10,0
1981-10-15,1982,0.003,4.655,0,rain,0,10,0
1981-10-16,1982,0,1.017,0,rain,0,10,0
1981-10-17,1982,0,3.502,0,rain,0,10,0
1981-10-18,1982,0,5.065,0,rain,0,10,0
1981-10-19,1982,0,6.746,0,rain,0,10,0
1981-10-20,1982,0,7.464,0,rain,0,10,0
1981-10-21,1982,0,5.225,0,rain,0,10,0
1981-10-22,1982,0,5.473,0,rain,0,10,0
1981-10-23,1982,0,5.94,0,rain,0,10,0
1981-10-24,1982,0,2.9,0,rain,0,10,0
1981-10-25,1982,0,3.248,0,rain,0,10,0
1981-10-26,1982,0,8.577,0,rain,0,10,0
1981-10-27,1982,0,7.551,0,rain,0,10,0
1981-10-28,1982,0,7.883,0,rain,0,10,0
1981-10-29,1982,0,2.764,0,rain,0,10,0
1981-10-30,1982,0,-1.703,1,snow,0,10,0
1981-10-31,1982,0,0.486,0,rain,0,10,0
1981-11-01,1982,0,3.352,0,rain,0,11,0
