Date,air_temp_av_C,air_temp_max_C,air_temp_min_C,precip_mm,snow_depth_mm,swe_mm,station
2009-10-01,NA,NA,NA,0,NA,0,beaver_springs
2009-10-02,NA,NA,NA,0,NA,0,beaver_springs
2009-10-03,NA,NA,NA,0,NA,0,beaver_springs
2009-10-04,NA,NA,NA,0,NA,0,beaver_springs
2009-10-05,NA,NA,NA,0,NA,0,beaver_springs
2009-10-06,NA,NA,NA,0,NA,0,beaver_springs
2009-10-07,NA,NA,NA,0,NA,0,beaver_springs
2009-10-08,NA,NA,NA,0,NA,0,beaver_springs
2009-10-09,NA,NA,NA,0,NA,0,beaver_springs
2009-10-10,NA,NA,NA,0,NA,0,beaver_springs
2009-10-11,NA,NA,NA,0,NA,0,beaver_springs
2009-10-12,NA,NA,NA,0,NA,0,beaver_springs
2009-10-13,NA,NA,NA,0,NA,0,beaver_springs
2009-10-14,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-15,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-16,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-17,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-18,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-19,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-20,NA,NA,NA,2.54,NA,0,beaver_springs
2009-10-21,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-22,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-23,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-24,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-25,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-26,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-27,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-28,NA,NA,NA,5.08,NA,0,beaver_springs
2009-10-29,NA,NA,NA,7.619999999999999,NA,0,beaver_springs
2009-10-30,-2.78,4.44,-10,7.619999999999999,NA,0,beaver_springs
2009-10-31,5,12.22,-1.11,7.619999999999999,0,0,beaver_springs
2009-11-01,7.78,14.44,2.78,7.619999999999999,0,0,beaver_springs
2009-11-02,7.78,14.44,3.89,7.619999999999999,0,0,beaver_springs
2009-11-03,8.89,15,3.89,7.619999999999999,0,0,beaver_springs
2009-11-04,10,16.11,5.56,7.619999999999999,0,0,beaver_springs
2009-11-05,10.56,15.56,7.78,7.619999999999999,0,0,beaver_springs
2009-11-06,9.44,14.44,6.67,7.619999999999999,0,0,beaver_springs
2009-11-07,8.89,13.89,5.56,7.619999999999999,0,0,beaver_springs
2009-11-08,5.56,11.11,2.22,7.619999999999999,0,0,beaver_springs
2009-11-09,6.11,11.11,2.78,7.619999999999999,0,0,beaver_springs
2009-11-10,7.78,13.33,4.44,7.619999999999999,0,0,beaver_springs
2009-11-11,7.78,12.22,3.89,7.619999999999999,0,0,beaver_springs
2009-11-12,6.11,8.89,3.33,7.619999999999999,0,0,beaver_springs
2009-11-13,1.11,3.33,-0.56,7.619999999999999,0,0,beaver_springs
2009-11-14,-2.22,-0.56,-6.11,22.86,50.8,12.7,beaver_springs
2009-11-15,-7.22,-1.11,-10.56,48.26,76.2,22.86,beaver_springs
2009-11-16,-1.67,6.11,-8.33,53.339999999999996,76.2,22.86,beaver_springs
2009-11-17,2.78,10,-2.78,55.88,76.2,22.86,beaver_springs
2009-11-18,3.33,8.89,-1.11,55.88,101.6,22.86,beaver_springs
2009-11-19,1.67,8.33,-2.22,55.88,101.6,20.32,beaver_springs
2009-11-20,2.22,8.33,-2.22,55.88,76.2,20.32,beaver_springs
2009-11-21,2.22,6.67,-2.78,55.88,76.2,17.779999999999998,beaver_springs
2009-11-22,1.11,6.67,-3.33,55.88,76.2,17.779999999999998,beaver_springs
2009-11-23,-2.22,3.33,-7.22,55.88,50.8,15.239999999999998,beaver_springs
2009-11-24,-1.11,6.67,-7.78,55.88,50.8,12.7,beaver_springs
2009-11-25,2.22,8.33,-3.33,55.88,25.4,10.16,beaver_springs
2009-11-26,5,11.67,1.11,55.88,25.4,7.619999999999999,beaver_springs
2009-11-27,3.89,8.89,0.56,55.88,0,5.08,beaver_springs
2009-11-28,0.56,4.44,-3.33,55.88,0,2.54,beaver_springs
2009-11-29,-1.11,-0,-2.22,58.419999999999995,0,0,beaver_springs
2009-11-30,-1.67,2.78,-6.11,58.419999999999995,0,0,beaver_springs
2009-12-01,0.56,7.22,-3.89,58.419999999999995,0,0,beaver_springs
2009-12-02,-2.22,2.78,-7.78,58.419999999999995,0,0,beaver_springs
2009-12-03,-10,-4.44,-14.44,58.419999999999995,0,0,beaver_springs
2009-12-04,-7.78,-1.67,-15,58.419999999999995,0,0,beaver_springs
2009-12-05,-3.33,-0.56,-6.67,58.419999999999995,0,0,beaver_springs
2009-12-06,-6.11,-3.89,-8.89,58.419999999999995,0,0,beaver_springs
2009-12-07,-3.33,-1.67,-4.44,58.419999999999995,0,0,beaver_springs
2009-12-08,-8.89,-1.67,-13.33,96.52,254,38.1,beaver_springs
2009-12-09,-11.11,-7.22,-13.33,116.83999999999999,279.4,38.1,beaver_springs
2009-12-10,-6.67,-0,-12.22,119.38,254,38.1,beaver_springs
2009-12-11,-3.33,1.67,-6.67,121.91999999999999,228.6,40.64,beaver_springs
2009-12-12,-2.78,-1.67,-3.89,129.54,254,48.26,beaver_springs
2009-12-13,-2.78,-0.56,-6.67,142.23999999999998,304.8,58.419999999999995,beaver_springs
2009-12-14,-6.11,0.56,-9.44,157.48000000000002,355.59999999999997,66.04,beaver_springs
2009-12-15,-2.22,5,-10,157.48000000000002,355.59999999999997,66.04,beaver_springs
2009-12-16,2.78,8.33,-0.56,160.01999999999998,304.8,68.58,beaver_springs
2009-12-17,1.11,8.89,-3.33,160.01999999999998,304.8,68.58,beaver_springs
2009-12-18,-1.67,5.56,-6.67,160.01999999999998,304.8,68.58,beaver_springs
2009-12-19,-1.67,4.44,-5.56,160.01999999999998,304.8,68.58,beaver_springs
2009-12-20,2.22,9.44,-2.22,160.01999999999998,304.8,68.58,beaver_springs
2009-12-21,-0,3.89,-2.22,160.01999999999998,279.4,68.58,beaver_springs
2009-12-22,-2.78,-0.56,-7.22,160.01999999999998,279.4,68.58,beaver_springs
2009-12-23,-5.56,-1.67,-8.33,172.71999999999997,431.79999999999995,81.28,beaver_springs
2009-12-24,-8.33,-1.67,-12.22,172.71999999999997,431.79999999999995,81.28,beaver_springs
2009-12-25,-10,-2.78,-14.44,172.71999999999997,406.4,81.28,beaver_springs
2009-12-26,-10.56,-3.33,-14.44,172.71999999999997,406.4,81.28,beaver_springs
2009-12-27,-8.33,-2.22,-14.44,172.71999999999997,381,81.28,beaver_springs
2009-12-28,-3.89,3.33,-11.11,172.71999999999997,381,81.28,beaver_springs
2009-12-29,-4.44,-2.78,-6.11,175.26,355.59999999999997,86.35999999999999,beaver_springs
2009-12-30,-6.67,-5.56,-7.22,193.04,508,99.06,beaver_springs
2009-12-31,-8.33,-1.67,-12.78,228.6,914.4,134.61999999999998,beaver_springs
2010-01-01,-1.67,5.56,-10,231.14,838.1999999999999,134.61999999999998,beaver_springs
2010-01-02,-1.67,4.44,-7.22,233.67999999999998,736.6,134.61999999999998,beaver_springs
2010-01-03,-3.33,3.89,-7.78,233.67999999999998,711.1999999999999,134.61999999999998,beaver_springs
2010-01-04,-1.67,5.56,-7.78,233.67999999999998,685.8,134.61999999999998,beaver_springs
2010-01-05,0.56,7.78,-2.78,233.67999999999998,635,134.61999999999998,beaver_springs
2010-01-06,-0,6.67,-3.89,233.67999999999998,609.6,134.61999999999998,beaver_springs
2010-01-07,-2.22,2.78,-7.22,233.67999999999998,584.1999999999999,134.61999999999998,beaver_springs
2010-01-08,-2.78,5.56,-8.33,233.67999999999998,558.8,132.08,beaver_springs
2010-01-09,0.56,6.67,-2.22,233.67999999999998,558.8,132.08,beaver_springs
2010-01-10,0.56,8.33,-3.33,233.67999999999998,558.8,132.08,beaver_springs
2010-01-11,1.11,7.78,-3.33,233.67999999999998,533.4,132.08,beaver_springs
2010-01-12,2.22,7.22,-2.22,233.67999999999998,482.59999999999997,134.61999999999998,beaver_springs
2010-01-13,0.56,6.67,-2.78,233.67999999999998,482.59999999999997,134.61999999999998,beaver_springs
2010-01-14,-2.78,1.11,-5.56,233.67999999999998,482.59999999999997,134.61999999999998,beaver_springs
2010-01-15,-0.56,7.22,-4.44,233.67999999999998,508,134.61999999999998,beaver_springs
2010-01-16,2.22,8.33,-1.67,233.67999999999998,508,134.61999999999998,beaver_springs
2010-01-17,-0.56,3.89,-2.78,233.67999999999998,482.59999999999997,134.61999999999998,beaver_springs
2010-01-18,-2.78,-1.67,-4.44,233.67999999999998,482.59999999999997,134.61999999999998,beaver_springs
2010-01-19,-3.33,-2.22,-3.89,259.08,685.8,160.01999999999998,beaver_springs
2010-01-20,-5,-2.78,-7.22,274.32,762,175.26,beaver_springs
2010-01-21,-2.22,0.56,-5,274.32,736.6,175.26,beaver_springs
