Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
1,1995,OCT,0.09,OCT-1,1994,1994-10-01,1995-10-01,NA,NA,0.0025485161932799994,Captain Tom Wash
1,1995,NOV,0.17,NOV-1,1994,1994-11-01,1995-11-01,NA,NA,0.00481386392064,Captain Tom Wash
1,1995,DEC,0.35,DEC-1,1994,1994-12-01,1995-12-01,E,NA,0.009910896307199997,Captain Tom Wash
1,1995,JAN,1.5,JAN-1,1995,1995-01-01,1995-01-01,E,NA,0.04247526988799999,Captain Tom Wash
1,1995,FEB,0.58,FEB-1,1995,1995-02-01,1995-02-01,E,NA,0.016423771023359995,Captain Tom Wash
1,1995,MAR,3.8,MAR-1,1995,1995-03-01,1995-03-01,NA,NA,0.10760401704959996,Captain Tom Wash
1,1995,APR,18,APR-1,1995,1995-04-01,1995-04-01,NA,NA,0.5097032386559999,Captain Tom Wash
1,1995,MAY,54,MAY-1,1995,1995-05-01,1995-05-01,NA,NA,1.5291097159679996,Captain Tom Wash
1,1995,JUN,1.5,JUN-1,1995,1995-06-01,1995-06-01,NA,NA,0.04247526988799999,Captain Tom Wash
1,1995,JUL,8,JUL-1,1995,1995-07-01,1995-07-01,NA,NA,0.22653477273599995,Captain Tom Wash
1,1995,AUG,0.02,AUG-1,1995,1995-08-01,1995-08-01,E,NA,5.663369318399999e-4,Captain Tom Wash
1,1995,SEP,0.02,SEP-1,1995,1995-09-01,1995-09-01,E,NA,5.663369318399999e-4,Captain Tom Wash
2,1995,OCT,0.05,OCT-2,1994,1994-10-02,1995-10-02,NA,NA,0.0014158423296,Captain Tom Wash
2,1995,NOV,0.17,NOV-2,1994,1994-11-02,1995-11-02,NA,NA,0.00481386392064,Captain Tom Wash
2,1995,DEC,0.29,DEC-2,1994,1994-12-02,1995-12-02,E,NA,0.008211885511679997,Captain Tom Wash
2,1995,JAN,1.2,JAN-2,1995,1995-01-02,1995-01-02,E,NA,0.03398021591039999,Captain Tom Wash
2,1995,FEB,0.74,FEB-2,1995,1995-02-02,1995-02-02,E,NA,0.020954466478079994,Captain Tom Wash
2,1995,MAR,3.5,MAR-2,1995,1995-03-02,1995-03-02,NA,NA,0.09910896307199998,Captain Tom Wash
2,1995,APR,22,APR-2,1995,1995-04-02,1995-04-02,NA,NA,0.6229706250239998,Captain Tom Wash
2,1995,MAY,46,MAY-2,1995,1995-05-02,1995-05-02,NA,NA,1.3025749432319997,Captain Tom Wash
2,1995,JUN,1.1,JUN-2,1995,1995-06-02,1995-06-02,NA,NA,0.031148531251199995,Captain Tom Wash
2,1995,JUL,6,JUL-2,1995,1995-07-02,1995-07-02,NA,NA,0.16990107955199996,Captain Tom Wash
2,1995,AUG,0.02,AUG-2,1995,1995-08-02,1995-08-02,E,NA,5.663369318399999e-4,Captain Tom Wash
2,1995,SEP,0.02,SEP-2,1995,1995-09-02,1995-09-02,E,NA,5.663369318399999e-4,Captain Tom Wash
3,1995,OCT,0.04,OCT-3,1994,1994-10-03,1995-10-03,NA,NA,0.0011326738636799998,Captain Tom Wash
3,1995,NOV,0.63,NOV-3,1994,1994-11-03,1995-11-03,NA,NA,0.01783961335296,Captain Tom Wash
3,1995,DEC,0.3,DEC-3,1994,1994-12-03,1995-12-03,E,NA,0.008495053977599998,Captain Tom Wash
3,1995,JAN,1.2,JAN-3,1995,1995-01-03,1995-01-03,E,NA,0.03398021591039999,Captain Tom Wash
3,1995,FEB,0.81,FEB-3,1995,1995-02-03,1995-02-03,E,NA,0.022936645739519996,Captain Tom Wash
3,1995,MAR,3,MAR-3,1995,1995-03-03,1995-03-03,NA,NA,0.08495053977599998,Captain Tom Wash
3,1995,APR,26,APR-3,1995,1995-04-03,1995-04-03,NA,NA,0.7362380113919998,Captain Tom Wash
3,1995,MAY,25,MAY-3,1995,1995-05-03,1995-05-03,NA,NA,0.7079211647999998,Captain Tom Wash
