date,swe_mm
2003-11-01,0
2003-11-02,0
2003-11-03,0
2003-11-04,0
2003-11-05,0
2003-11-06,0
2003-11-07,0
2003-11-08,0
2003-11-09,0
2003-11-10,0
2003-11-11,0
2003-11-12,0
2003-11-13,0
2003-11-14,0
2003-11-15,0
2003-11-16,0
2003-11-17,0
2003-11-18,0
2003-11-19,0
2003-11-20,0
2003-11-21,0
2003-11-22,0
2003-11-23,0
2003-11-24,0
2003-11-25,0
2003-11-26,0
2003-11-27,0
2003-11-28,0
2003-11-29,0
2003-11-30,0
2003-12-01,0
2003-12-02,0
2003-12-03,0
2003-12-04,0
2003-12-05,0
2003-12-06,0
2003-12-07,0
2003-12-08,0
2003-12-09,0.0602
2003-12-10,0.0067
2003-12-11,0
2003-12-12,0
2003-12-13,0.1625
2003-12-14,0.0143
2003-12-15,0
2003-12-16,0
2003-12-17,0
2003-12-18,0
2003-12-19,0
2003-12-20,0
2003-12-21,0
2003-12-22,0
2003-12-23,0
2003-12-24,0
2003-12-25,0
2003-12-26,0
2003-12-27,1.523
2003-12-28,1.4079
2003-12-29,0.8536
2003-12-30,0.2592
2003-12-31,0.0968
2004-01-01,0.0321
2004-01-02,0.0225
2004-01-03,0.2178
2004-01-04,1.2286
2004-01-05,0.8369
2004-01-06,0.4407
2004-01-07,0.2916
2004-01-08,0.1229
2004-01-09,0.0926
2004-01-10,0.0456
2004-01-11,0.0031
2004-01-12,0
2004-01-13,0
2004-01-14,0
2004-01-15,0
2004-01-16,0.5175
2004-01-17,0.4106
2004-01-18,0.2992
2004-01-19,0.1041
2004-01-20,0.0514
2004-01-21,0.5035
2004-01-22,0.8324
2004-01-23,0.4998
2004-01-24,0.2288
2004-01-25,0.0846
2004-01-26,2.766
2004-01-27,1.9151
2004-01-28,1.3804
2004-01-29,1.0451
2004-01-30,0.5204
2004-01-31,0.2746
2004-02-01,1.8086
2004-02-02,1.2176
2004-02-03,0.8304
2004-02-04,1.7536
2004-02-05,1.4723
2004-02-06,1.045
2004-02-07,0.7012
2004-02-08,0.559
2004-02-09,0.4633
2004-02-10,0.4178
2004-02-11,0.3708
2004-02-12,0.3171
2004-02-13,0.2567
2004-02-14,0.1984
2004-02-15,0.1518
2004-02-16,0.1162
2004-02-17,0.0955
2004-02-18,0.0047
2004-02-19,0
2004-02-20,0
2004-02-21,0
2004-02-22,0.1307
2004-02-23,0.0804
2004-02-24,1.809
2004-02-26,1.103
2004-02-27,0.0083
2004-02-28,0.0031
2004-02-29,0.8928
2004-03-01,0.4519
2004-03-02,0.1582
2004-03-03,0.0939
2004-03-04,0.0047
2004-03-05,2.1164
2004-03-06,1.1861
2004-03-07,0.2203
2004-03-08,0.0031
2004-03-09,0
2004-03-10,0
2004-03-11,0
2004-03-12,0
2004-03-13,0
2004-03-14,0
2004-03-15,0
2004-03-16,0
2004-03-17,0
2004-03-18,0
2004-03-19,0
2004-03-20,0
2004-03-21,0
2004-03-22,0
2004-03-23,0
2004-03-24,0
2004-03-25,0
2004-03-26,0
2004-03-27,0
2004-03-28,0
2004-03-29,0
2004-03-30,0
2004-03-31,0
2004-04-01,0
2004-04-02,0
2004-04-03,0
2004-04-04,1.1296
2004-04-05,3.7008
2004-04-06,3.2024
