Date,waterYear,tmean,precip_mm,precip_type,month,prism_snow_mm,prism_snow_mm_accum
1981-01-01,1981,2.847,0,rain,1,0,0
1981-01-02,1981,3.645,0,rain,1,0,0
1981-01-03,1981,3.507,0,rain,1,0,0
1981-01-04,1981,3.445,0,rain,1,0,0
1981-01-05,1981,0.173,0,rain,1,0,0
1981-01-06,1981,-1.223,0,snow,1,0,0
1981-01-07,1981,-0.578,0,snow,1,0,0
1981-01-08,1981,0.31,0,rain,1,0,0
1981-01-09,1981,1.328,0,rain,1,0,0
1981-01-10,1981,1.241,0,rain,1,0,0
1981-01-11,1981,0.802,55.776,rain,1,0,0
1981-01-12,1981,0.907,190.061,rain,1,0,0
1981-01-13,1981,0.754,0,rain,1,0,0
1981-01-14,1981,0.298,0,rain,1,0,0
1981-01-15,1981,-0.025,0,snow,1,0,0
1981-01-16,1981,-0.519,0,snow,1,0,0
1981-01-17,1981,-0.452,0,snow,1,0,0
1981-01-18,1981,-0.827,0,snow,1,0,0
1981-01-19,1981,-0.304,0,snow,1,0,0
1981-01-20,1981,-0.417,0,snow,1,0,0
1981-01-21,1981,0.555,0,rain,1,0,0
1981-01-22,1981,2.821,0,rain,1,0,0
1981-01-23,1981,2.843,0,rain,1,0,0
1981-01-24,1981,0.537,0,rain,1,0,0
1981-01-25,1981,-3.204,0,snow,1,0,0
1981-01-26,1981,-3.567,0,snow,1,0,0
1981-01-27,1981,-2.15,391.582,snow,1,391.582,391.582
1981-01-28,1981,-1.122,99.868,snow,1,99.868,491.45
1981-01-29,1981,-0.911,65.49400000000001,snow,1,65.49400000000001,556.944
1981-01-30,1981,-2.679,368.72099999999995,snow,1,368.72099999999995,925.665
1981-01-31,1981,-8.103,0,snow,1,0,925.665
1981-02-01,1981,-6.624,0,snow,2,0,925.665
1981-02-02,1981,-3.97,0,snow,2,0,925.665
1981-02-03,1981,-3.118,0,snow,2,0,925.665
1981-02-04,1981,-2.818,0,snow,2,0,925.665
1981-02-05,1981,-2.298,0,snow,2,0,925.665
1981-02-06,1981,-1.627,0,snow,2,0,925.665
1981-02-07,1981,-1.571,0,snow,2,0,925.665
1981-02-08,1981,0.433,1519.21,rain,2,0,925.665
1981-02-09,1981,-1.766,219.136,snow,2,219.136,1144.801
1981-02-10,1981,-7.443,0,snow,2,0,1144.801
1981-02-11,1981,-3.696,0,snow,2,0,1144.801
1981-02-12,1981,-1.298,0,snow,2,0,1144.801
1981-02-13,1981,2.924,0,rain,2,0,1144.801
1981-02-14,1981,3.32,0,rain,2,0,1144.801
1981-02-15,1981,2.47,0,rain,2,0,1144.801
1981-02-16,1981,3.793,0,rain,2,0,1144.801
1981-02-17,1981,4.709,0,rain,2,0,1144.801
1981-02-18,1981,5.203,0,rain,2,0,1144.801
1981-02-19,1981,7.199,0,rain,2,0,1144.801
1981-02-20,1981,4.47,0,rain,2,0,1144.801
1981-02-21,1981,-3.009,0,snow,2,0,1144.801
1981-02-22,1981,0.597,0,rain,2,0,1144.801
1981-02-23,1981,4.091,0,rain,2,0,1144.801
1981-02-24,1981,5.76,0,rain,2,0,1144.801
1981-02-25,1981,4.633,881.5930000000001,rain,2,0,1144.801
1981-02-26,1981,1.162,96.94800000000001,rain,2,0,1144.801
1981-02-27,1981,0.157,0,rain,2,0,1144.801
1981-02-28,1981,1.771,274.025,rain,2,0,1144.801
1981-03-01,1981,1.574,596.434,rain,3,0,1144.801
1981-03-02,1981,0.179,3202.8700000000003,rain,3,0,1144.801
1981-03-03,1981,-1.913,168.71299999999997,snow,3,168.71299999999997,1313.514
1981-03-04,1981,-0.822,0,snow,3,0,1313.514
1981-03-05,1981,0.204,607.715,rain,3,0,1313.514
1981-03-06,1981,-2.379,0.9550000000000001,snow,3,0.9550000000000001,1314.4689999999998
1981-03-07,1981,-2.265,0,snow,3,0,1314.4689999999998
