date,swe_mm
2003-11-01,0
2003-11-02,0
2003-11-03,0
2003-11-04,0
2003-11-05,0
2003-11-06,0
2003-11-07,0
2003-11-08,0
2003-11-09,0
2003-11-10,0
2003-11-11,0
2003-11-12,0
2003-11-13,0
2003-11-14,0
2003-11-15,0
2003-11-16,0
2003-11-17,0
2003-11-18,0
2003-11-19,0
2003-11-20,0
2003-11-21,0
2003-11-22,0
2003-11-23,0
2003-11-24,0
2003-11-25,0
2003-11-26,0
2003-11-27,0
2003-11-28,0
2003-11-29,0
2003-11-30,0
2003-12-01,0
2003-12-02,0
2003-12-03,0
2003-12-04,0
2003-12-05,0
2003-12-06,0
2003-12-07,0
2003-12-08,0
2003-12-09,0.67
2003-12-10,0.0162
2003-12-11,0
2003-12-12,0.0199
2003-12-13,1.6825
2003-12-14,0.8361
2003-12-15,0
2003-12-16,0
2003-12-17,0
2003-12-18,0
2003-12-19,0
2003-12-20,0
2003-12-21,0
2003-12-22,0
2003-12-23,0
2003-12-24,0
2003-12-25,0
2003-12-26,0
2003-12-27,2.314
2003-12-28,1.8003
2003-12-29,1.2644
2003-12-30,0.403
2003-12-31,0.143
2004-01-01,0.0527
2004-01-02,0.0213
2004-01-03,0.0153
2004-01-04,1.8974
2004-01-05,1.2241
2004-01-06,0.5883
2004-01-07,0.3725
2004-01-08,0.0643
2004-01-09,0.0367
2004-01-10,0.0109
2004-01-11,0.0015
2004-01-12,0
2004-01-13,0
2004-01-14,0
2004-01-15,0
2004-01-16,1.293
2004-01-17,1.0198
2004-01-18,0.9248
2004-01-19,0.4602
2004-01-20,0.2041
2004-01-21,0.2692
2004-01-22,0.3851
2004-01-23,0.224
2004-01-24,0.175
2004-01-25,0.1206
2004-01-26,3.877
2004-01-27,2.9107
2004-01-28,2.2598
2004-01-29,1.6265
2004-01-30,0.7295
2004-01-31,0.4317
2004-02-01,1.3923
2004-02-02,0.5732
2004-02-03,0.4309
2004-02-04,2.0651
2004-02-05,2.118
2004-02-06,1.6395
2004-02-07,0.7858
2004-02-08,0.5235
2004-02-09,0.4244
2004-02-10,0.3732
2004-02-11,0.304
2004-02-12,0.2445
2004-02-13,0.1668
2004-02-14,0.0935
2004-02-15,0.0566
2004-02-16,0.0364
2004-02-17,0.0182
2004-02-18,0
2004-02-19,0
2004-02-20,0
2004-02-21,0
2004-02-22,0.1168
2004-02-23,0.0298
2004-02-24,1.3829
2004-02-26,0.6148
2004-02-27,0
2004-02-28,0.5044
2004-02-29,2.1657
2004-03-01,1.8827
2004-03-02,1.1659
2004-03-03,0.6093
2004-03-04,0.0022
2004-03-05,2.3165
2004-03-06,1.5684
2004-03-07,0.0117
2004-03-08,0
2004-03-09,0
2004-03-10,0
2004-03-11,0
2004-03-12,0
2004-03-13,0
2004-03-14,0
2004-03-15,0
2004-03-16,0
2004-03-17,0
2004-03-18,0
2004-03-19,0
2004-03-20,0
2004-03-21,0
2004-03-22,0
2004-03-23,0
2004-03-24,0
2004-03-25,0
2004-03-26,0
2004-03-27,0
2004-03-28,0
2004-03-29,0
2004-03-30,0
2004-03-31,0
2004-04-01,0
2004-04-02,0
2004-04-03,0
2004-04-04,0.1276
2004-04-05,0.758
2004-04-06,0.3099
2004-04-07,0
