Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
1,1998,OCT,0,OCT-1,1997,1997-10-01,1998-10-01,NA,NA,0,Lukachai Creek
1,1998,NOV,0,NOV-1,1997,1997-11-01,1998-11-01,NA,NA,0,Lukachai Creek
1,1998,DEC,0,DEC-1,1997,1997-12-01,1998-12-01,NA,NA,0,Lukachai Creek
1,1998,JAN,0.08,JAN-1,1998,1998-01-01,1998-01-01,E,NA,0.0022653477273599995,Lukachai Creek
1,1998,FEB,0.08,FEB-1,1998,1998-02-01,1998-02-01,E,NA,0.0022653477273599995,Lukachai Creek
1,1998,MAR,1,MAR-1,1998,1998-03-01,1998-03-01,E,NA,0.028316846591999994,Lukachai Creek
1,1998,APR,0.14,APR-1,1998,1998-04-01,1998-04-01,NA,NA,0.003964358522879999,Lukachai Creek
1,1998,MAY,64,MAY-1,1998,1998-05-01,1998-05-01,NA,NA,1.8122781818879996,Lukachai Creek
1,1998,JUN,0.3,JUN-1,1998,1998-06-01,1998-06-01,E,NA,0.008495053977599998,Lukachai Creek
1,1998,JUL,0.08,JUL-1,1998,1998-07-01,1998-07-01,NA,NA,0.0022653477273599995,Lukachai Creek
1,1998,AUG,0.14,AUG-1,1998,1998-08-01,1998-08-01,E,NA,0.003964358522879999,Lukachai Creek
1,1998,SEP,0,SEP-1,1998,1998-09-01,1998-09-01,NA,NA,0,Lukachai Creek
2,1998,OCT,0,OCT-2,1997,1997-10-02,1998-10-02,NA,NA,0,Lukachai Creek
2,1998,NOV,0,NOV-2,1997,1997-11-02,1998-11-02,NA,NA,0,Lukachai Creek
2,1998,DEC,0,DEC-2,1997,1997-12-02,1998-12-02,NA,NA,0,Lukachai Creek
2,1998,JAN,0.08,JAN-2,1998,1998-01-02,1998-01-02,E,NA,0.0022653477273599995,Lukachai Creek
2,1998,FEB,0,FEB-2,1998,1998-02-02,1998-02-02,NA,NA,0,Lukachai Creek
2,1998,MAR,2,MAR-2,1998,1998-03-02,1998-03-02,E,NA,0.05663369318399999,Lukachai Creek
2,1998,APR,0.05,APR-2,1998,1998-04-02,1998-04-02,NA,NA,0.0014158423296,Lukachai Creek
2,1998,MAY,100,MAY-2,1998,1998-05-02,1998-05-02,E,NA,2.831684659199999,Lukachai Creek
2,1998,JUN,0.3,JUN-2,1998,1998-06-02,1998-06-02,E,NA,0.008495053977599998,Lukachai Creek
2,1998,JUL,0.1,JUL-2,1998,1998-07-02,1998-07-02,NA,NA,0.0028316846592,Lukachai Creek
2,1998,AUG,0.15,AUG-2,1998,1998-08-02,1998-08-02,E,NA,0.004247526988799999,Lukachai Creek
2,1998,SEP,0,SEP-2,1998,1998-09-02,1998-09-02,NA,NA,0,Lukachai Creek
