Date Collected,Station Name,Total Snow Depth (in),Ave Snow Depth (in),Ave Water Content (in),Ave Density (percent),Method,Precip Reading       (in)
28-Dec-84,Arbab's Forest,28.5,5.7,1.6,28,BS,
16-Jan-85,Arbab's Forest,58,11.6,2.6,22,BS,
29-Jan-85,Arbab's Forest,95.5,19.1,4,21,TS,
12-Feb-85,Arbab's Forest,108,21.6,5.7,26,TS,
27-Feb-85,Arbab's Forest,71.5,14.3,4.4,31,TS,
13-Mar-85,Arbab's Forest,14,2.8,0.8,29,BS,
26-Mar-85,Arbab's Forest,0,0,0,0,NSM,
27-Dec-84,Bowl Canyon,94,18.8,4,21,TS,
10-Jan-85,Bowl Canyon,133,26.6,4.2,16,TS,
30-Jan-85,Bowl Canyon,174,34.8,7.6,22,TS,
08-Feb-85,Bowl Canyon,188.5,37.7,8.6,23,TS,
27-Feb-85,Bowl Canyon,176,35.2,10.1,29,TS,
13-Mar-85,Bowl Canyon,171,34.2,10.2,30,TS,
28-Mar-85,Bowl Canyon,150,30,10.3,34,TS,
05-Apr-85,Bowl Canyon,140,28,11.2,40,TS,
28-Dec-84,Fluted Rock,34,6.8,2,29,BS,
16-Jan-85,Fluted Rock,70,14,3.2,23,TS,
29-Jan-85,Fluted Rock,96,19.2,4.7,24,TS,
12-Feb-85,Fluted Rock,116,23.2,6.1,26,TS,
27-Feb-85,Fluted Rock,85,17,5.5,32,TS,
13-Mar-85,Fluted Rock,34,6.8,2,29,BS,
26-Mar-85,Fluted Rock,0,0,0,0,NSM,
26-Dec-84,Tsaile I,72,14.4,4.2,29,TS,
14-Jan-85,Tsaile I,126.5,25.3,6,24,TS,6.08
25-Jan-85,Tsaile I,127,25.4,6,24,TS,7
13-Feb-85,Tsaile I,180.5,36.1,9.9,27,TS,9.2
25-Feb-85,Tsaile I,151.5,30.3,9.2,30,TS,9.3
12-Mar-85,Tsaile I,98,19.6,6.3,32,TS,10.6
25-Mar-85,Tsaile I,70.5,14.1,5.6,40,TS,12
09-Apr-85,Tsaile I,0,0,0,0,NSM,13
25-Apr-85,Tsaile I,,,,,NSM,15
26-Dec-84,Tsaile II,106.5,21.3,5.8,27,TS,
14-Jan-85,Tsaile II,168.5,33.7,7.4,22,TS,
25-Jan-85,Tsaile II,167,33.4,8.8,26,TS,
13-Feb-85,Tsaile II,241,48.2,14.8,31,TS,
25-Feb-85,Tsaile II,215,43,14.7,34,TS,
12-Mar-85,Tsaile II,167.5,33.5,12.6,38,TS,
