Date,Beaver Spring (09N05) Snow Depth (cm) Start of Month Values,Beaver Spring (09N05) Snow Water Equivalent (mm) Start of Month Values,Bowl Canyon (08N04) Snow Depth (cm) Start of Month Values,Bowl Canyon (08N04) Snow Water Equivalent (mm) Start of Month Values,Fluted Rock (09P01) Snow Depth (cm) Start of Month Values,Fluted Rock (09P01) Snow Water Equivalent (mm) Start of Month Values,Missionary Spring (08N06) Snow Depth (cm) Start of Month Values,Missionary Spring (08N06) Snow Water Equivalent (mm) Start of Month Values,Tsaile Canyon #1 (09N02) Snow Depth (cm) Start of Month Values,Tsaile Canyon #1 (09N02) Snow Water Equivalent (mm) Start of Month Values,Tsaile Canyon #3 (09N04) Snow Depth (cm) Start of Month Values,Tsaile Canyon #3 (09N04) Snow Water Equivalent (mm) Start of Month Values,Whiskey Creek (08N03) Snow Depth (cm) Start of Month Values,Whiskey Creek (08N03) Snow Water Equivalent (mm) Start of Month Values
Jan-85,,,,,18,51,,,36,107,,,,
Feb-85,,,,,48,114,,,64,152,,,,
Mar-85,,,,,43,140,,,76,234,,,,
Apr-85,,,,,0,0,,,36,142,,,,
May-85,,,,,,,,,,,,,,
Jun-85,,,,,,,,,,,,,,
Jul-85,,,,,,,,,,,,,,
Aug-85,,,,,,,,,,,,,,
Sep-85,,,,,,,,,,,,,,
Oct-85,,,,,,,,,,,,,,
Nov-85,,,,,,,,,,,,,,
Dec-85,,,,,,,,,,,,,,
Jan-86,,,46,132,10,28,,,,,,,43,124
Feb-86,61,193,48,122,0,0,,,33,119,48,152,41,114
Mar-86,76,254,46,135,0,0,,,33,140,61,203,43,163
Apr-86,69,254,30,124,0,0,,,23,84,48,183,38,145
May-86,,,,,,,,,,,,,,
Jun-86,,,,,,,,,,,,,,
Jul-86,,,,,,,,,,,,,,
Aug-86,,,,,,,,,,,,,,
Sep-86,,,,,,,,,,,,,,
Oct-86,,,,,,,,,,,,,,
Nov-86,,,,,,,,,,,,,,
Dec-86,,,,,,,,,,,,,,
Jan-87,,,33,64,,,,,23,53,28,81,38,102
Feb-87,48,94,48,94,18,51,,,38,117,46,119,48,107
Mar-87,,,,,,,,,56,130,74,170,,
Apr-87,86,234,86,292,13,36,,,48,160,74,224,86,236
May-87,,,,,,,,,,,,,,
Jun-87,,,,,,,,,,,,,,
Jul-87,,,,,,,,,,,,,,
Aug-87,,,,,,,,,,,,,,
Sep-87,,,,,,,,,,,,,,
Oct-87,,,,,,,,,,,,,,
Nov-87,,,,,,,,,,,,,,
Dec-87,,,,,,,,,,,,,,
Jan-88,,152,51,127,30,66,,,36,94,43,114,46,124
Feb-88,86,246,79,208,51,127,,,71,198,89,262,81,213
Mar-88,86,287,81,262,41,135,,,61,213,84,284,79,262
Apr-88,53,216,48,198,0,0,,,30,130,48,221,58,231
May-88,,,,,,,,,,,,,,0
Jun-88,,,,,,,,,,,,,,
Jul-88,,,,,,,,,,,,,,
Aug-88,,,,,,,,,,,,,,
Sep-88,,,,,,,,,,,,,,
Oct-88,,,,,,,,,,,,,,
Nov-88,,,,,,,,,,,,,,
Dec-88,,,,,,,,,,,,,,
Jan-89,66,160,51,107,25,53,,,48,117,66,142,53,127
Feb-89,79,241,74,180,36,109,,,61,155,66,201,69,196
Mar-89,81,272,66,180,28,91,,,56,168,69,226,79,259
Apr-89,20,102,5,46,0,0,,,0,0,0,0,28,119
May-89,,,,,,,,,,,,,,
Jun-89,,,,,,,,,,,,,,
Jul-89,,,,,,,,,,,,,,
Aug-89,,,,,,,,,,,,,,
Sep-89,,,,,,,,,,,,,,
Oct-89,,,,,,,,,,,,,,
Nov-89,,,,,,,,,,,,,,
Dec-89,,,,,,,,,,,,,,
Jan-90,0,0,0,0,0,0,,,0,0,0,0,3,5
Feb-90,18,28,25,51,20,38,,,8,13,20,36,20,41
Mar-90,30,71,43,109,23,69,,,18,46,38,112,41,104
Apr-90,,76,28,86,0,0,,,0,0,,102,28,94
May-90,,,,,,,,,,,,,,
Jun-90,,,,,,,,,,,,,,
Jul-90,,,,,,,,,,,,,,
Aug-90,,,,,,,,,,,,,,
Sep-90,,,,,,,,,,,,,,
Oct-90,,,,,,,,,,,,,,
Nov-90,,,,,,,,,,,,,,
Dec-90,,,,,,,,,,,,,,
Jan-91,56,137,69,183,41,99,33,86,48,102,56,127,66,170
Feb-91,84,251,84,234,46,132,38,104,76,216,84,257,94,290
Mar-91,79,244,84,244,30,127,20,86,56,201,71,224,81,282
Apr-91,114,378,119,330,25,76,10,28,58,206,81,277,109,358
May-91,,,,,,,,,,,,,,
Jun-91,,,,,,,,,,,,,,
Jul-91,,,,,,,,,,,,,,
Aug-91,,,,,,,,,,,,,,
Sep-91,,,,,,,,,,,,,,
Oct-91,,,,,,,,,,,,,,
Nov-91,,,,,,,,,,,,,,
Dec-91,,,,,,,,,,,,,,
Jan-92,61,145,58,145,36,76,33,91,,140,,152,51,135
Feb-92,69,196,66,175,41,107,46,127,61,163,71,198,56,160
Mar-92,86,264,79,221,43,117,43,140,79,216,89,259,79,218
Apr-92,76,249,71,203,8,30,0,0,,102,61,218,69,221
May-92,,,,,,,,,,,,,,
Jun-92,,,,,,,,,,,,,,
Jul-92,,,,,,,,,,,,,,
Aug-92,,,,,,,,,,,,,,
Sep-92,,,,,,,,,,,,,,
Oct-92,,,,,,,,,,,,,,
Nov-92,,,,,,,,,,,,,,
Dec-92,,,,,,,,,,,,,,
Jan-93,46,137,43,107,18,41,20,46,36,89,43,107,41,117
Feb-93,112,333,102,320,41,122,56,178,76,216,114,343,107,307
Mar-93,140,414,127,384,46,152,58,208,91,274,135,391,135,391
Apr-93,86,340,84,307,5,13,0,0,41,175,81,366,76,310
May-93,,,,,,,,,,,,,,
Jun-93,,,,,,,,,,,,,,
Jul-93,,,,,,,,,,,,,,
Aug-93,,,,,,,,,,,,,,
Sep-93,,,,,,,,,,,,,,
Oct-93,,,,,,,,,,,,,,
Nov-93,,,,,,,,,,,,,,
Dec-93,,,,,,,,,,,,,,
Jan-94,30,69,28,71,8,10,10,20,15,28,30,69,28,61
Feb-94,46,91,51,117,13,13,23,25,30,46,51,102,43,97
Mar-94,84,213,71,213,25,56,30,122,64,150,97,224,79,224
Apr-94,43,165,41,178,0,0,0,0,0,0,41,152,43,165
May-94,,,,,,,,,,,,,,
Jun-94,,,,,,,,,,,,,,
Jul-94,,,,,,,,,,,,,,
Aug-94,,,,,,,,,,,,,,
Sep-94,,,,,,,,,,,,,,
Oct-94,,,,,,,,,,,,,,
Nov-94,,,,,,,,,,,,,,
Dec-94,,,,,,,,,,,,,,
Jan-95,43,124,38,102,3,10,5,13,18,64,36,107,38,97
Feb-95,109,307,97,254,56,152,51,152,86,239,109,290,99,287
Mar-95,84,292,89,254,20,86,20,86,61,236,84,277,81,269
Apr-95,86,323,76,279,0,0,0,0,38,150,81,297,76,287
May-95,,,,,,,,,,,,,,
Jun-95,,,,,,,,,,,,,,
Jul-95,,,,,,,,,,,,,,
Aug-95,,,,,,,,,,,,,,
Sep-95,,,,,,,,,,,,,,
Oct-95,,,,,,,,,,,,,,
Nov-95,,,,,,,,,,,,,,
Dec-95,,,,,,,,,,,,,,
Jan-96,15,23,20,28,15,20,18,28,10,15,15,23,18,28
Feb-96,,,41,97,18,46,18,53,28,61,43,84,53,127
Mar-96,53,127,38,99,15,20,15,20,23,25,61,160,51,130
Apr-96,15,51,0,0,0,0,0,0,0,0,13,46,23,97
May-96,,,,,,,,,,,,,,
Jun-96,,,,,,,,,,,,,,
Jul-96,,,,,,,,,,,,,,
Aug-96,,,,,,,,,,,,,,
Sep-96,,,,,,,,,,,,,,
Oct-96,,,,,,,,,,,,,,
Nov-96,,,,,,,,,,,,,,
Dec-96,,,,,,,,,,,,,,
Jan-97,43,119,51,119,0,0,0,0,15,43,33,94,48,132
Feb-97,107,297,112,310,48,137,56,142,66,180,99,269,114,333
Mar-97,99,328,102,325,46,137,48,175,64,201,94,292,112,356
Apr-97,,,36,155,0,0,0,0,0,0,20,107,41,175
May-97,,,,,,,,,,,,,,
Jun-97,,,,,,,,,,,,,,
Jul-97,,,,,,,,,,,,,,
Aug-97,,,,,,,,,,,,,,
Sep-97,,,,,,,,,,,,,,
Oct-97,,,,,,,,,,,,,,
Nov-97,,,,,,,,,,,,,,
Dec-97,,,,,,,,,,,,,,
Jan-98,48,119,66,147,38,102,41,86,48,112,56,145,56,135
Feb-98,66,196,69,183,41,117,38,109,61,147,71,198,66,196
Mar-98,119,307,107,284,71,198,61,165,,,,,109,290
Apr-98,122,363,94,295,28,86,13,41,64,180,107,323,97,307
May-98,,,,,,,,,,,,,,
Jun-98,,,,,,,,,,,,,,0
Jul-98,,,,,,,,,,,,,,
Aug-98,,,,,,,,,,,,,,
Sep-98,,,,,,,,,,,,,,
Oct-98,,,,,,,,,,,,,,
Nov-98,,,,,,,,,,,,,,
Dec-98,,,,,,,,,,,,,,
Jan-99,33,99,36,86,0,0,5,15,25,51,36,97,33,79
Feb-99,43,112,43,114,0,0,0,0,30,84,46,114,41,122
Mar-99,,,,,0,0,,,5,13,28,102,,
Apr-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-99,,,,,,,,,,,,,,
Jun-99,,,,,,,,,,,,,,
Jul-99,,,,,,,,,,,,,,
Aug-99,,,,,,,,,,,,,,
Sep-99,,,,,,,,,,,,,,
Oct-99,,,,,,,,,,,,,,
Nov-99,,,,,,,,,,,,,,
Dec-99,,,,,,,,,,,,,,
Jan-00,10,15,18,20,0,0,10,15,15,23,20,28,15,20
Feb-00,48,94,46,107,15,15,5,10,38,81,61,135,43,99
Mar-00,46,135,48,140,0,0,3,5,20,66,53,170,51,150
Apr-00,48,160,51,168,0,0,15,38,15,41,53,185,66,234
May-00,,,,,,,,,,,,,,
Jun-00,,,,,,,,,,,,,,
Jul-00,,,,,,,,,,,,,,
Aug-00,,,,,,,,,,,,,,
Sep-00,,,,,,,,,,,,,,
Oct-00,,,,,,,,,,,,,,
Nov-00,,,,,,,,,,,,,,
Dec-00,,,,,,,,,,,,,,
Jan-01,,,30,71,0,0,10,18,15,25,30,69,33,71
Feb-01,,,74,152,43,74,56,135,66,119,79,160,79,165
Mar-01,,,84,221,41,114,41,150,66,183,89,239,89,236
Apr-01,51,190,56,213,10,36,5,30,20,89,38,140,41,157
May-01,,,,,,,,,,,,,,
Jun-01,,,,,,,,,,,,,,
Jul-01,,,,,,,,,,,,,,
Aug-01,,,,,,,,,,,,,,
Sep-01,,,,,,,,,,,,,,
Oct-01,,,,,,,,,,,,,,
Nov-01,,,,,,,,,,,,,,
Dec-01,,,,,,,,,,,,,,
Jan-02,36,86,41,89,23,41,23,48,33,76,46,107,33,76
Feb-02,48,104,53,109,28,56,25,71,36,84,43,114,41,84
Mar-02,38,107,46,122,15,30,8,28,28,74,38,102,36,81
Apr-02,0,0,15,46,0,0,0,0,0,0,10,33,0,0
May-02,,,,,,,,,,,,,,
Jun-02,,,,,,,,,,,,,,
Jul-02,,,,,,,,,,,,,,
Aug-02,,,,,,,,,,,,,,
Sep-02,,,,,,,,,,,,,,
Oct-02,,,,,,,,,,,,,,
Nov-02,,,,,,,,,,,,,,
Dec-02,,,,,,,,,,,,,,
Jan-03,33,76,28,64,15,25,20,51,25,58,46,109,36,84
Feb-03,30,81,30,84,0,0,8,28,25,76,41,132,38,109
Mar-03,64,140,86,183,23,46,48,81,53,119,74,196,86,221
Apr-03,69,244,53,206,8,33,8,5,41,178,79,310,74,279
May-03,,,,,,,,,,,,,,
Jun-03,,,,,,,,,,,,,,
Jul-03,,,,,,,,,,,,,,
Aug-03,,,,,,,,,,,,,,
Sep-03,,,,,,,,,,,,,,
