date,Mount Powell,Defiance Plateau,Black Mesa,Navajo Mountain,Carrizo,Chuska,Navajo_Nation,All_Mountains
1-Nov-00,0.022,5.333,14.947,14.105,7.242,248.819,705.837,290.469
8-Nov-00,31.227,408.774,288.4,23.183,99.488,668.435,"8,215.97","1,519.51"
15-Nov-00,35.655,442.769,201.034,22.495,88.998,864.301,"4,341.62","1,655.25"
22-Nov-00,48.584,47.748,8.718,9.407,37.204,369.908,"1,489.05",521.568
29-Nov-00,12.691,0.062,0,5.18,15.075,236.564,330.726,269.571
6-Dec-00,3.449,19.378,10.935,8.768,29.386,261.925,485.663,333.842
13-Dec-00,1.384,8.069,18.025,11.113,44.537,293.446,701.763,376.574
20-Dec-00,10.456,155.187,72.001,8.602,54.516,472.252,"5,052.19",773.014
27-Dec-00,60.277,344.464,148.006,5.692,69.923,700.275,"13,264.80","1,328.64"
3-Jan-01,32.294,37.003,73.437,4.646,38.642,405.015,"2,829.14",591.036
10-Jan-01,34.732,645.228,596.032,22.832,89.783,934.347,"13,153.85","2,322.95"
17-Jan-01,66.797,898.721,757.157,34.529,151.104,"1,108.73","27,088.44","3,017.03"
24-Jan-01,57.601,869.182,859.796,35.825,224.026,"1,022.62","24,340.76","3,069.05"
31-Jan-01,62.074,"1,006.49","1,064.07",46.624,240.849,"1,255.26","27,308.67","3,675.36"
7-Feb-01,57.936,914.231,446.474,20.758,148.69,"1,156.70","16,691.98","2,744.79"
14-Feb-01,52.875,911.671,232.614,16.506,87.343,"1,161.18","6,521.00","2,462.19"
21-Feb-01,38.947,787.567,151.366,22.149,69.329,"1,010.45","3,217.86","2,079.81"
28-Feb-01,29.286,411.536,62.225,11.381,52.788,484.647,"1,575.88","1,051.86"
7-Mar-01,11.865,707.895,357.766,28.979,59.309,748.308,"3,496.51","1,914.12"
14-Mar-01,8.364,418.2,42.405,21.068,60.153,722.934,"1,562.09","1,273.12"
21-Mar-01,0.843,51.182,0.152,11.351,30.956,407.475,509.779,501.959
28-Mar-01,0,2.991,0.009,7.137,15.512,257.543,288.013,283.193
4-Apr-01,0.214,19.931,39.41,12.224,2.907,145.937,307.195,220.623
11-Apr-01,0,13.394,6.007,8.652,20.259,199.489,286.269,247.801
18-Apr-01,0.032,5.765,0,2.128,17.962,70.131,105.884,96.018
25-Apr-01,0,0.25,0,0.68,0,9.592,16.974,10.521
1-Nov-01,0,0.225,0.044,0.035,0.003,0.132,4.17,0.44
8-Nov-01,0,0.202,0.144,0.788,0,1.106,17.375,2.241
15-Nov-01,0,0,0,0,0,0,1.165,0
22-Nov-01,28.75,401.21,273.251,7.156,42.114,422.268,"5,531.29","1,174.75"
29-Nov-01,38.774,734.119,848.284,25.354,148.781,"1,071.18","10,430.92","2,866.50"
6-Dec-01,21.529,801.014,413.14,21.045,75.388,"1,018.01","8,005.26","2,350.13"
13-Dec-01,45.351,749.765,706.533,32.14,169.676,973.773,"17,714.79","2,677.24"
20-Dec-01,32.699,643.063,280.406,15.633,78.259,828.401,"6,162.75","1,878.46"
27-Dec-01,26.77,737.858,281.406,16.276,57.12,894.388,"7,404.40","2,013.82"
3-Jan-02,31.268,888.094,465.654,9.654,139.621,"1,081.25","12,713.76","2,615.54"
10-Jan-02,30.385,586.907,67.613,6.069,60.536,823.982,"3,784.55","1,575.49"
17-Jan-02,11.226,418.007,21.931,3.619,53.336,692.55,"1,666.18","1,200.67"
24-Jan-02,25,442.465,43.657,6.685,47.572,708.333,"3,896.01","1,273.71"
31-Jan-02,63.203,580.785,97.039,16.011,54.018,822.763,"9,060.53","1,633.82"
7-Feb-02,32.256,260.456,3.948,2.372,31.982,568.736,"1,195.06",899.75
14-Feb-02,15.445,161.061,2.434,4.779,32.646,493.222,939.182,709.587
21-Feb-02,3.066,31.142,0,2.448,25.572,334.567,403.034,396.795
28-Feb-02,0.219,1.415,2.2,8.262,55.594,274.648,520.615,342.337
7-Mar-02,2.9,0.082,3.294,1.712,17.13,219.982,307.279,245.1
14-Mar-02,0,0.447,3.837,3.52,7.526,98.189,167.662,113.52
21-Mar-02,0,0,6.817,0,0,0.051,39.99,6.868
28-Mar-02,0,0.566,0,0.073,0,0.068,22.815,0.707
4-Apr-02,0,0.029,0.032,0,0,1.15,5.345,1.211
11-Apr-02,0,0,0,0,0,0.055,1.246,0.055
18-Apr-02,0,0,0.247,0,0.062,0.071,1.969,0.38
25-Apr-02,0,0.005,0.033,0,0,0.006,0.631,0.044
1-Nov-02,0.481,3.612,0.208,1.181,2.441,16.522,64.853,24.445
8-Nov-02,4.123,58.524,13.827,6.347,37.54,375.433,926.332,495.795
15-Nov-02,0.015,0.069,0.161,0.878,9.998,141.585,158.71,152.705
22-Nov-02,0,0.641,9.054,4.753,0.711,9.933,344.895,25.093
29-Nov-02,26.603,61.69,7.545,4.277,17.679,261.838,"1,841.05",379.631
6-Dec-02,59.169,27.972,1.922,2.516,14.528,276.844,"2,709.07",382.95
13-Dec-02,52.185,267.844,320.985,8.434,45.472,510.363,"7,330.87","1,205.28"
20-Dec-02,57.545,860.024,"1,040.00",35.342,179.5,"1,169.13","33,435.31","3,341.53"
27-Dec-02,55.927,918.116,995.747,34.393,225.695,"1,101.41","35,420.44","3,331.29"
3-Jan-03,48.215,760.14,640.771,24.906,125.203,989.057,"13,921.07","2,588.29"
10-Jan-03,25.216,293.534,175.538,18.976,94.938,765.852,"2,065.43","1,374.06"
17-Jan-03,12.716,60.475,24.483,7.987,51.146,504.791,741.842,661.598
24-Jan-03,4.683,6.217,5.405,5.486,37.27,386,481.593,445.061
31-Jan-03,0.666,0.629,5.287,5.428,39.885,292.603,374.086,344.497
7-Feb-03,6.57,8.844,3.131,5.184,32.034,259.125,951.652,314.888
14-Feb-03,4.343,298.538,48.145,9.701,69.833,681.007,"1,753.75","1,111.57"
21-Feb-03,2.316,229.654,99.232,8.428,99.837,660.864,"2,365.79","1,100.33"
