Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
1,1992,OCT,1.6,OCT-1,1991,1991-10-01,1992-10-01,NA,NA,0.0453069545472,Tsaile Creek
1,1992,NOV,2.9,NOV-1,1991,1991-11-01,1992-11-01,NA,NA,0.08211885511679998,Tsaile Creek
1,1992,DEC,4.9,DEC-1,1991,1991-12-01,1992-12-01,NA,NA,0.1387525483008,Tsaile Creek
1,1992,JAN,3,JAN-1,1992,1992-01-01,1992-01-01,NA,NA,0.08495053977599998,Tsaile Creek
1,1992,FEB,2.7,FEB-1,1992,1992-02-01,1992-02-01,NA,NA,0.07645548579839999,Tsaile Creek
1,1992,MAR,4.3,MAR-1,1992,1992-03-01,1992-03-01,NA,NA,0.12176244034559998,Tsaile Creek
1,1992,APR,11,APR-1,1992,1992-04-01,1992-04-01,NA,NA,0.3114853125119999,Tsaile Creek
1,1992,MAY,13,MAY-1,1992,1992-05-01,1992-05-01,NA,NA,0.3681190056959999,Tsaile Creek
1,1992,JUN,8,JUN-1,1992,1992-06-01,1992-06-01,NA,NA,0.22653477273599995,Tsaile Creek
1,1992,JUL,1.7,JUL-1,1992,1992-07-01,1992-07-01,NA,NA,0.048138639206399984,Tsaile Creek
1,1992,AUG,2.3,AUG-1,1992,1992-08-01,1992-08-01,NA,NA,0.06512874716159997,Tsaile Creek
1,1992,SEP,2.5,SEP-1,1992,1992-09-01,1992-09-01,E,NA,0.07079211647999997,Tsaile Creek
2,1992,OCT,1.6,OCT-2,1991,1991-10-02,1992-10-02,NA,NA,0.0453069545472,Tsaile Creek
2,1992,NOV,1.9,NOV-2,1991,1991-11-02,1992-11-02,NA,NA,0.05380200852479998,Tsaile Creek
2,1992,DEC,3.6,DEC-2,1991,1991-12-02,1992-12-02,NA,NA,0.10194064773119997,Tsaile Creek
2,1992,JAN,2.9,JAN-2,1992,1992-01-02,1992-01-02,NA,NA,0.08211885511679998,Tsaile Creek
2,1992,FEB,2.7,FEB-2,1992,1992-02-02,1992-02-02,NA,NA,0.07645548579839999,Tsaile Creek
2,1992,MAR,5,MAR-2,1992,1992-03-02,1992-03-02,NA,NA,0.14158423295999994,Tsaile Creek
2,1992,APR,11,APR-2,1992,1992-04-02,1992-04-02,NA,NA,0.3114853125119999,Tsaile Creek
2,1992,MAY,12,MAY-2,1992,1992-05-02,1992-05-02,NA,NA,0.3398021591039999,Tsaile Creek
2,1992,JUN,6.8,JUN-2,1992,1992-06-02,1992-06-02,NA,NA,0.19255455682559994,Tsaile Creek
2,1992,JUL,1.8,JUL-2,1992,1992-07-02,1992-07-02,NA,NA,0.050970323865599985,Tsaile Creek
2,1992,AUG,2.1,AUG-2,1992,1992-08-02,1992-08-02,NA,NA,0.05946537784319999,Tsaile Creek
2,1992,SEP,2.6,SEP-2,1992,1992-09-02,1992-09-02,E,NA,0.07362380113919999,Tsaile Creek
3,1992,OCT,1.6,OCT-3,1991,1991-10-03,1992-10-03,NA,NA,0.0453069545472,Tsaile Creek
3,1992,NOV,3.4,NOV-3,1991,1991-11-03,1992-11-03,NA,NA,0.09627727841279997,Tsaile Creek
3,1992,DEC,3.3,DEC-3,1991,1991-12-03,1992-12-03,NA,NA,0.09344559375359997,Tsaile Creek
3,1992,JAN,2.9,JAN-3,1992,1992-01-03,1992-01-03,NA,NA,0.08211885511679998,Tsaile Creek
3,1992,FEB,3.1,FEB-3,1992,1992-02-03,1992-02-03,E,NA,0.08778222443519998,Tsaile Creek
3,1992,MAR,4.6,MAR-3,1992,1992-03-03,1992-03-03,NA,NA,0.13025749432319994,Tsaile Creek
3,1992,APR,14,APR-3,1992,1992-04-03,1992-04-03,NA,NA,0.39643585228799993,Tsaile Creek
3,1992,MAY,11,MAY-3,1992,1992-05-03,1992-05-03,NA,NA,0.3114853125119999,Tsaile Creek
3,1992,JUN,6.4,JUN-3,1992,1992-06-03,1992-06-03,NA,NA,0.1812278181888,Tsaile Creek
3,1992,JUL,1.8,JUL-3,1992,1992-07-03,1992-07-03,NA,NA,0.050970323865599985,Tsaile Creek
3,1992,AUG,2,AUG-3,1992,1992-08-03,1992-08-03,NA,NA,0.05663369318399999,Tsaile Creek
3,1992,SEP,2.6,SEP-3,1992,1992-09-03,1992-09-03,E,NA,0.07362380113919999,Tsaile Creek
4,1992,OCT,1.6,OCT-4,1991,1991-10-04,1992-10-04,NA,NA,0.0453069545472,Tsaile Creek
4,1992,NOV,3.4,NOV-4,1991,1991-11-04,1992-11-04,NA,NA,0.09627727841279997,Tsaile Creek
4,1992,DEC,3.4,DEC-4,1991,1991-12-04,1992-12-04,NA,NA,0.09627727841279997,Tsaile Creek
4,1992,JAN,2.9,JAN-4,1992,1992-01-04,1992-01-04,NA,NA,0.08211885511679998,Tsaile Creek
4,1992,FEB,3.1,FEB-4,1992,1992-02-04,1992-02-04,E,NA,0.08778222443519998,Tsaile Creek
4,1992,MAR,4.3,MAR-4,1992,1992-03-04,1992-03-04,NA,NA,0.12176244034559998,Tsaile Creek
4,1992,APR,14,APR-4,1992,1992-04-04,1992-04-04,E,NA,0.39643585228799993,Tsaile Creek
4,1992,MAY,12,MAY-4,1992,1992-05-04,1992-05-04,NA,NA,0.3398021591039999,Tsaile Creek
4,1992,JUN,6,JUN-4,1992,1992-06-04,1992-06-04,NA,NA,0.16990107955199996,Tsaile Creek
4,1992,JUL,1.7,JUL-4,1992,1992-07-04,1992-07-04,NA,NA,0.048138639206399984,Tsaile Creek
4,1992,AUG,2.3,AUG-4,1992,1992-08-04,1992-08-04,NA,NA,0.06512874716159997,Tsaile Creek
4,1992,SEP,2.6,SEP-4,1992,1992-09-04,1992-09-04,E,NA,0.07362380113919999,Tsaile Creek
5,1992,OCT,1.6,OCT-5,1991,1991-10-05,1992-10-05,NA,NA,0.0453069545472,Tsaile Creek
5,1992,NOV,3,NOV-5,1991,1991-11-05,1992-11-05,NA,NA,0.08495053977599998,Tsaile Creek
5,1992,DEC,3.7,DEC-5,1991,1991-12-05,1992-12-05,NA,NA,0.10477233239039999,Tsaile Creek
5,1992,JAN,2.7,JAN-5,1992,1992-01-05,1992-01-05,NA,NA,0.07645548579839999,Tsaile Creek
5,1992,FEB,3,FEB-5,1992,1992-02-05,1992-02-05,E,NA,0.08495053977599998,Tsaile Creek
5,1992,MAR,4.2,MAR-5,1992,1992-03-05,1992-03-05,NA,NA,0.11893075568639998,Tsaile Creek
5,1992,APR,22,APR-5,1992,1992-04-05,1992-04-05,E,NA,0.6229706250239998,Tsaile Creek
5,1992,MAY,9.6,MAY-5,1992,1992-05-05,1992-05-05,NA,NA,0.27184172728319994,Tsaile Creek
5,1992,JUN,5.8,JUN-5,1992,1992-06-05,1992-06-05,NA,NA,0.16423771023359995,Tsaile Creek
5,1992,JUL,1.6,JUL-5,1992,1992-07-05,1992-07-05,NA,NA,0.0453069545472,Tsaile Creek
5,1992,AUG,2.6,AUG-5,1992,1992-08-05,1992-08-05,NA,NA,0.07362380113919999,Tsaile Creek
5,1992,SEP,2.4,SEP-5,1992,1992-09-05,1992-09-05,E,NA,0.06796043182079999,Tsaile Creek
6,1992,OCT,1.6,OCT-6,1991,1991-10-06,1992-10-06,NA,NA,0.0453069545472,Tsaile Creek
6,1992,NOV,3.3,NOV-6,1991,1991-11-06,1992-11-06,NA,NA,0.09344559375359997,Tsaile Creek
6,1992,DEC,3.6,DEC-6,1991,1991-12-06,1992-12-06,NA,NA,0.10194064773119997,Tsaile Creek
6,1992,JAN,2.6,JAN-6,1992,1992-01-06,1992-01-06,NA,NA,0.07362380113919999,Tsaile Creek
6,1992,FEB,3,FEB-6,1992,1992-02-06,1992-02-06,E,NA,0.08495053977599998,Tsaile Creek
6,1992,MAR,4.3,MAR-6,1992,1992-03-06,1992-03-06,NA,NA,0.12176244034559998,Tsaile Creek
6,1992,APR,28,APR-6,1992,1992-04-06,1992-04-06,E,NA,0.7928717045759999,Tsaile Creek
6,1992,MAY,19,MAY-6,1992,1992-05-06,1992-05-06,NA,NA,0.5380200852479999,Tsaile Creek
6,1992,JUN,5.2,JUN-6,1992,1992-06-06,1992-06-06,NA,NA,0.14724760227839997,Tsaile Creek
6,1992,JUL,1.6,JUL-6,1992,1992-07-06,1992-07-06,NA,NA,0.0453069545472,Tsaile Creek
6,1992,AUG,2.5,AUG-6,1992,1992-08-06,1992-08-06,NA,NA,0.07079211647999997,Tsaile Creek
6,1992,SEP,1.8,SEP-6,1992,1992-09-06,1992-09-06,E,NA,0.050970323865599985,Tsaile Creek
7,1992,OCT,1.6,OCT-7,1991,1991-10-07,1992-10-07,NA,NA,0.0453069545472,Tsaile Creek
7,1992,NOV,2.9,NOV-7,1991,1991-11-07,1992-11-07,NA,NA,0.08211885511679998,Tsaile Creek
7,1992,DEC,3.2,DEC-7,1991,1991-12-07,1992-12-07,NA,NA,0.0906139090944,Tsaile Creek
7,1992,JAN,2.5,JAN-7,1992,1992-01-07,1992-01-07,NA,NA,0.07079211647999997,Tsaile Creek
7,1992,FEB,3,FEB-7,1992,1992-02-07,1992-02-07,E,NA,0.08495053977599998,Tsaile Creek
7,1992,MAR,5,MAR-7,1992,1992-03-07,1992-03-07,NA,NA,0.14158423295999994,Tsaile Creek
7,1992,APR,24,APR-7,1992,1992-04-07,1992-04-07,NA,NA,0.6796043182079998,Tsaile Creek
7,1992,MAY,15,MAY-7,1992,1992-05-07,1992-05-07,NA,NA,0.42475269887999995,Tsaile Creek
7,1992,JUN,5.3,JUN-7,1992,1992-06-07,1992-06-07,NA,NA,0.15007928693759998,Tsaile Creek
7,1992,JUL,1.9,JUL-7,1992,1992-07-07,1992-07-07,NA,NA,0.05380200852479998,Tsaile Creek
7,1992,AUG,2.5,AUG-7,1992,1992-08-07,1992-08-07,NA,NA,0.07079211647999997,Tsaile Creek
7,1992,SEP,1.7,SEP-7,1992,1992-09-07,1992-09-07,NA,NA,0.048138639206399984,Tsaile Creek
8,1992,OCT,1.7,OCT-8,1991,1991-10-08,1992-10-08,NA,NA,0.048138639206399984,Tsaile Creek
8,1992,NOV,2.8,NOV-8,1991,1991-11-08,1992-11-08,NA,NA,0.07928717045759998,Tsaile Creek
8,1992,DEC,3.2,DEC-8,1991,1991-12-08,1992-12-08,NA,NA,0.0906139090944,Tsaile Creek
8,1992,JAN,2.5,JAN-8,1992,1992-01-08,1992-01-08,NA,NA,0.07079211647999997,Tsaile Creek
8,1992,FEB,3,FEB-8,1992,1992-02-08,1992-02-08,E,NA,0.08495053977599998,Tsaile Creek
8,1992,MAR,4.5,MAR-8,1992,1992-03-08,1992-03-08,NA,NA,0.12742580966399997,Tsaile Creek
8,1992,APR,27,APR-8,1992,1992-04-08,1992-04-08,NA,NA,0.7645548579839998,Tsaile Creek
8,1992,MAY,29,MAY-8,1992,1992-05-08,1992-05-08,NA,NA,0.8211885511679998,Tsaile Creek
8,1992,JUN,5.7,JUN-8,1992,1992-06-08,1992-06-08,NA,NA,0.16140602557439995,Tsaile Creek
8,1992,JUL,2,JUL-8,1992,1992-07-08,1992-07-08,NA,NA,0.05663369318399999,Tsaile Creek
8,1992,AUG,2.1,AUG-8,1992,1992-08-08,1992-08-08,NA,NA,0.05946537784319999,Tsaile Creek
8,1992,SEP,1.7,SEP-8,1992,1992-09-08,1992-09-08,NA,NA,0.048138639206399984,Tsaile Creek
9,1992,OCT,1.5,OCT-9,1991,1991-10-09,1992-10-09,NA,NA,0.04247526988799999,Tsaile Creek
9,1992,NOV,2.7,NOV-9,1991,1991-11-09,1992-11-09,NA,NA,0.07645548579839999,Tsaile Creek
9,1992,DEC,3.3,DEC-9,1991,1991-12-09,1992-12-09,NA,NA,0.09344559375359997,Tsaile Creek
9,1992,JAN,2.5,JAN-9,1992,1992-01-09,1992-01-09,NA,NA,0.07079211647999997,Tsaile Creek
9,1992,FEB,3,FEB-9,1992,1992-02-09,1992-02-09,E,NA,0.08495053977599998,Tsaile Creek
9,1992,MAR,3.9,MAR-9,1992,1992-03-09,1992-03-09,NA,NA,0.11043570170879997,Tsaile Creek
9,1992,APR,32,APR-9,1992,1992-04-09,1992-04-09,NA,NA,0.9061390909439998,Tsaile Creek
9,1992,MAY,33,MAY-9,1992,1992-05-09,1992-05-09,NA,NA,0.9344559375359998,Tsaile Creek
9,1992,JUN,4.9,JUN-9,1992,1992-06-09,1992-06-09,NA,NA,0.1387525483008,Tsaile Creek
9,1992,JUL,2.2,JUL-9,1992,1992-07-09,1992-07-09,E,NA,0.06229706250239999,Tsaile Creek
9,1992,AUG,3.2,AUG-9,1992,1992-08-09,1992-08-09,NA,NA,0.0906139090944,Tsaile Creek
9,1992,SEP,1.6,SEP-9,1992,1992-09-09,1992-09-09,NA,NA,0.0453069545472,Tsaile Creek
10,1992,OCT,1.5,OCT-10,1991,1991-10-10,1992-10-10,NA,NA,0.04247526988799999,Tsaile Creek
10,1992,NOV,3,NOV-10,1991,1991-11-10,1992-11-10,NA,NA,0.08495053977599998,Tsaile Creek
10,1992,DEC,3.6,DEC-10,1991,1991-12-10,1992-12-10,NA,NA,0.10194064773119997,Tsaile Creek
10,1992,JAN,2.6,JAN-10,1992,1992-01-10,1992-01-10,NA,NA,0.07362380113919999,Tsaile Creek
10,1992,FEB,3,FEB-10,1992,1992-02-10,1992-02-10,E,NA,0.08495053977599998,Tsaile Creek
10,1992,MAR,4.4,MAR-10,1992,1992-03-10,1992-03-10,NA,NA,0.12459412500479998,Tsaile Creek
10,1992,APR,34,APR-10,1992,1992-04-10,1992-04-10,NA,NA,0.9627727841279998,Tsaile Creek
10,1992,MAY,23,MAY-10,1992,1992-05-10,1992-05-10,NA,NA,0.6512874716159999,Tsaile Creek
10,1992,JUN,5.3,JUN-10,1992,1992-06-10,1992-06-10,E,NA,0.15007928693759998,Tsaile Creek
10,1992,JUL,4.9,JUL-10,1992,1992-07-10,1992-07-10,E,NA,0.1387525483008,Tsaile Creek
10,1992,AUG,2.1,AUG-10,1992,1992-08-10,1992-08-10,NA,NA,0.05946537784319999,Tsaile Creek
10,1992,SEP,1.7,SEP-10,1992,1992-09-10,1992-09-10,NA,NA,0.048138639206399984,Tsaile Creek
11,1992,OCT,1.5,OCT-11,1991,1991-10-11,1992-10-11,NA,NA,0.04247526988799999,Tsaile Creek
11,1992,NOV,3.7,NOV-11,1991,1991-11-11,1992-11-11,NA,NA,0.10477233239039999,Tsaile Creek
11,1992,DEC,4.4,DEC-11,1991,1991-12-11,1992-12-11,NA,NA,0.12459412500479998,Tsaile Creek
11,1992,JAN,2.6,JAN-11,1992,1992-01-11,1992-01-11,NA,NA,0.07362380113919999,Tsaile Creek
11,1992,FEB,2.9,FEB-11,1992,1992-02-11,1992-02-11,E,NA,0.08211885511679998,Tsaile Creek
11,1992,MAR,4.8,MAR-11,1992,1992-03-11,1992-03-11,NA,NA,0.13592086364159997,Tsaile Creek
11,1992,APR,39,APR-11,1992,1992-04-11,1992-04-11,NA,NA,1.1043570170879997,Tsaile Creek
11,1992,MAY,17,MAY-11,1992,1992-05-11,1992-05-11,NA,NA,0.4813863920639999,Tsaile Creek
11,1992,JUN,5.4,JUN-11,1992,1992-06-11,1992-06-11,E,NA,0.15291097159679998,Tsaile Creek
11,1992,JUL,10,JUL-11,1992,1992-07-11,1992-07-11,E,NA,0.2831684659199999,Tsaile Creek
11,1992,AUG,2.1,AUG-11,1992,1992-08-11,1992-08-11,E,NA,0.05946537784319999,Tsaile Creek
11,1992,SEP,1.6,SEP-11,1992,1992-09-11,1992-09-11,NA,NA,0.0453069545472,Tsaile Creek
12,1992,OCT,1.5,OCT-12,1991,1991-10-12,1992-10-12,NA,NA,0.04247526988799999,Tsaile Creek
12,1992,NOV,3,NOV-12,1991,1991-11-12,1992-11-12,NA,NA,0.08495053977599998,Tsaile Creek
12,1992,DEC,4.3,DEC-12,1991,1991-12-12,1992-12-12,NA,NA,0.12176244034559998,Tsaile Creek
12,1992,JAN,2.6,JAN-12,1992,1992-01-12,1992-01-12,NA,NA,0.07362380113919999,Tsaile Creek
12,1992,FEB,2.9,FEB-12,1992,1992-02-12,1992-02-12,E,NA,0.08211885511679998,Tsaile Creek
12,1992,MAR,5,MAR-12,1992,1992-03-12,1992-03-12,NA,NA,0.14158423295999994,Tsaile Creek
12,1992,APR,40,APR-12,1992,1992-04-12,1992-04-12,NA,NA,1.1326738636799996,Tsaile Creek
12,1992,MAY,13,MAY-12,1992,1992-05-12,1992-05-12,NA,NA,0.3681190056959999,Tsaile Creek
12,1992,JUN,5.5,JUN-12,1992,1992-06-12,1992-06-12,E,NA,0.15574265625599995,Tsaile Creek
12,1992,JUL,10,JUL-12,1992,1992-07-12,1992-07-12,E,NA,0.2831684659199999,Tsaile Creek
12,1992,AUG,2.2,AUG-12,1992,1992-08-12,1992-08-12,E,NA,0.06229706250239999,Tsaile Creek
12,1992,SEP,1.6,SEP-12,1992,1992-09-12,1992-09-12,NA,NA,0.0453069545472,Tsaile Creek
13,1992,OCT,1.5,OCT-13,1991,1991-10-13,1992-10-13,NA,NA,0.04247526988799999,Tsaile Creek
13,1992,NOV,2.5,NOV-13,1991,1991-11-13,1992-11-13,NA,NA,0.07079211647999997,Tsaile Creek
13,1992,DEC,4.4,DEC-13,1991,1991-12-13,1992-12-13,NA,NA,0.12459412500479998,Tsaile Creek
13,1992,JAN,2.5,JAN-13,1992,1992-01-13,1992-01-13,NA,NA,0.07079211647999997,Tsaile Creek
13,1992,FEB,3,FEB-13,1992,1992-02-13,1992-02-13,E,NA,0.08495053977599998,Tsaile Creek
13,1992,MAR,8,MAR-13,1992,1992-03-13,1992-03-13,NA,NA,0.22653477273599995,Tsaile Creek
13,1992,APR,39,APR-13,1992,1992-04-13,1992-04-13,NA,NA,1.1043570170879997,Tsaile Creek
13,1992,MAY,9.9,MAY-13,1992,1992-05-13,1992-05-13,NA,NA,0.2803367812607999,Tsaile Creek
13,1992,JUN,5.4,JUN-13,1992,1992-06-13,1992-06-13,E,NA,0.15291097159679998,Tsaile Creek
13,1992,JUL,4,JUL-13,1992,1992-07-13,1992-07-13,NA,NA,0.11326738636799998,Tsaile Creek
13,1992,AUG,2.3,AUG-13,1992,1992-08-13,1992-08-13,E,NA,0.06512874716159997,Tsaile Creek
13,1992,SEP,1.7,SEP-13,1992,1992-09-13,1992-09-13,NA,NA,0.048138639206399984,Tsaile Creek
14,1992,OCT,1.5,OCT-14,1991,1991-10-14,1992-10-14,NA,NA,0.04247526988799999,Tsaile Creek
14,1992,NOV,3.1,NOV-14,1991,1991-11-14,1992-11-14,NA,NA,0.08778222443519998,Tsaile Creek
14,1992,DEC,4.8,DEC-14,1991,1991-12-14,1992-12-14,NA,NA,0.13592086364159997,Tsaile Creek
14,1992,JAN,2.5,JAN-14,1992,1992-01-14,1992-01-14,NA,NA,0.07079211647999997,Tsaile Creek
14,1992,FEB,2.9,FEB-14,1992,1992-02-14,1992-02-14,E,NA,0.08211885511679998,Tsaile Creek
14,1992,MAR,8.5,MAR-14,1992,1992-03-14,1992-03-14,NA,NA,0.24069319603199996,Tsaile Creek
14,1992,APR,46,APR-14,1992,1992-04-14,1992-04-14,NA,NA,1.3025749432319997,Tsaile Creek
14,1992,MAY,8.4,MAY-14,1992,1992-05-14,1992-05-14,NA,NA,0.23786151137279996,Tsaile Creek
14,1992,JUN,5.4,JUN-14,1992,1992-06-14,1992-06-14,E,NA,0.15291097159679998,Tsaile Creek
14,1992,JUL,2.8,JUL-14,1992,1992-07-14,1992-07-14,NA,NA,0.07928717045759998,Tsaile Creek
14,1992,AUG,2.2,AUG-14,1992,1992-08-14,1992-08-14,E,NA,0.06229706250239999,Tsaile Creek
14,1992,SEP,2,SEP-14,1992,1992-09-14,1992-09-14,NA,NA,0.05663369318399999,Tsaile Creek
15,1992,OCT,1.5,OCT-15,1991,1991-10-15,1992-10-15,NA,NA,0.04247526988799999,Tsaile Creek
15,1992,NOV,4.3,NOV-15,1991,1991-11-15,1992-11-15,NA,NA,0.12176244034559998,Tsaile Creek
15,1992,DEC,4.3,DEC-15,1991,1991-12-15,1992-12-15,NA,NA,0.12176244034559998,Tsaile Creek
15,1992,JAN,2.5,JAN-15,1992,1992-01-15,1992-01-15,NA,NA,0.07079211647999997,Tsaile Creek
15,1992,FEB,3.1,FEB-15,1992,1992-02-15,1992-02-15,E,NA,0.08778222443519998,Tsaile Creek
15,1992,MAR,8.8,MAR-15,1992,1992-03-15,1992-03-15,NA,NA,0.24918825000959996,Tsaile Creek
15,1992,APR,36,APR-15,1992,1992-04-15,1992-04-15,NA,NA,1.0194064773119997,Tsaile Creek
15,1992,MAY,7.2,MAY-15,1992,1992-05-15,1992-05-15,NA,NA,0.20388129546239994,Tsaile Creek
15,1992,JUN,5.3,JUN-15,1992,1992-06-15,1992-06-15,E,NA,0.15007928693759998,Tsaile Creek
15,1992,JUL,2.4,JUL-15,1992,1992-07-15,1992-07-15,NA,NA,0.06796043182079999,Tsaile Creek
15,1992,AUG,2.1,AUG-15,1992,1992-08-15,1992-08-15,E,NA,0.05946537784319999,Tsaile Creek
15,1992,SEP,2,SEP-15,1992,1992-09-15,1992-09-15,NA,NA,0.05663369318399999,Tsaile Creek
16,1992,OCT,1.5,OCT-16,1991,1991-10-16,1992-10-16,NA,NA,0.04247526988799999,Tsaile Creek
16,1992,NOV,2.7,NOV-16,1991,1991-11-16,1992-11-16,NA,NA,0.07645548579839999,Tsaile Creek
16,1992,DEC,4.3,DEC-16,1991,1991-12-16,1992-12-16,NA,NA,0.12176244034559998,Tsaile Creek
