Date,air_temp_av_C,air_temp_max_C,air_temp_min_C,precip_mm,snow_depth_mm,swe_mm
2009-05-12,16.11,19.44,12.22,NA,NA,NA
2009-05-13,13.33,18.33,8.89,640.0799999999999,NA,0
2009-05-14,13.33,18.89,7.78,640.0799999999999,NA,0
2009-05-15,13.33,19.44,8.89,640.0799999999999,NA,0
2009-05-16,13.33,21.11,8.33,640.0799999999999,NA,0
2009-05-17,14.44,20.56,6.11,640.0799999999999,NA,0
2009-05-18,14.44,21.67,8.89,640.0799999999999,NA,0
2009-05-19,13.89,20.56,7.78,640.0799999999999,0,0
2009-05-20,11.67,17.22,7.78,640.0799999999999,0,0
2009-05-21,8.89,13.89,6.67,642.62,0,0
2009-05-22,8.33,11.11,6.67,650.24,0,0
2009-05-23,8.33,12.22,6.67,652.78,0,0
2009-05-24,8.33,14.44,5.56,665.4799999999999,0,0
2009-05-25,8.33,14.44,4.44,668.02,0,0
2009-05-26,8.89,15,4.44,668.02,25.4,0
2009-05-27,8.89,14.44,4.44,668.02,0,0
2009-05-28,10.56,16.67,5.56,668.02,0,0
2009-05-29,10,15.56,6.11,668.02,0,0
2009-05-30,10,16.11,5.56,668.02,0,0
2009-05-31,9.44,14.44,5.56,670.56,0,0
2009-06-01,11.11,17.22,5.56,670.56,25.4,0
2009-06-02,11.67,17.22,6.67,678.18,0,0
2009-06-03,13.89,19.44,6.11,678.18,0,0
2009-06-04,15.56,20.56,8.89,678.18,0,0
2009-06-05,13.89,18.33,8.89,678.18,0,0
2009-06-06,10.56,16.11,6.67,678.18,0,0
2009-06-07,8.89,15,3.89,678.18,0,0
2009-06-08,10,15.56,4.44,678.18,0,0
2009-06-09,9.44,14.44,7.22,678.18,0,0
2009-06-10,8.89,13.33,3.33,680.72,0,0
2009-06-11,10.56,15.56,6.67,680.72,0,0
2009-06-12,12.22,17.78,3.89,680.72,0,0
2009-06-13,12.78,17.78,9.44,680.72,0,0
2009-06-14,12.22,17.78,5.56,680.72,0,0
2009-06-15,11.67,17.78,7.22,680.72,0,0
2009-06-16,12.22,17.78,8.33,680.72,0,0
2009-06-17,12.22,18.33,7.22,680.72,0,0
2009-06-18,12.22,18.33,7.22,680.72,0,0
2009-06-19,13.89,20,6.67,680.72,0,0
2009-06-20,10.56,13.89,7.78,680.72,0,0
2009-06-21,13.89,19.44,8.33,685.8,0,0
2009-06-22,16.11,23.33,9.44,685.8,0,0
2009-06-23,17.78,23.89,11.67,685.8,0,0
2009-06-24,16.67,22.78,11.67,685.8,0,0
2009-06-25,16.11,22.22,11.11,690.8799999999999,0,0
2009-06-26,13.89,20.56,8.33,690.8799999999999,0,0
2009-06-27,13.89,20.56,7.22,690.8799999999999,0,0
2009-06-28,15.56,21.67,10,690.8799999999999,0,0
2009-06-29,16.67,23.33,10.56,690.8799999999999,0,0
2009-06-30,18.33,24.44,13.33,690.8799999999999,0,0
2009-07-01,17.22,22.78,11.67,690.8799999999999,0,0
2009-07-02,15.56,22.22,11.67,690.8799999999999,0,0
2009-07-03,16.11,22.22,11.11,690.8799999999999,0,0
2009-07-04,15.56,21.11,10.56,690.8799999999999,0,0
2009-07-05,17.22,23.89,11.11,701.04,0,0
2009-07-06,18.33,24.44,12.78,701.04,0,0
2009-07-07,17.78,23.89,10,701.04,0,0
