Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
1,1991,OCT,1.5,OCT-1,1990,1990-10-01,1991-10-01,NA,NA,0.04247526988799999,Whiskey Creek
1,1991,NOV,1.8,NOV-1,1990,1990-11-01,1991-11-01,NA,NA,0.050970323865599985,Whiskey Creek
1,1991,DEC,1.6,DEC-1,1990,1990-12-01,1991-12-01,NA,NA,0.0453069545472,Whiskey Creek
1,1991,JAN,2.4,JAN-1,1991,1991-01-01,1991-01-01,NA,NA,0.06796043182079999,Whiskey Creek
1,1991,FEB,2.7,FEB-1,1991,1991-02-01,1991-02-01,NA,NA,0.07645548579839999,Whiskey Creek
1,1991,MAR,2.2,MAR-1,1991,1991-03-01,1991-03-01,NA,NA,0.06229706250239999,Whiskey Creek
1,1991,APR,4.4,APR-1,1991,1991-04-01,1991-04-01,NA,NA,0.12459412500479998,Whiskey Creek
1,1991,MAY,16,MAY-1,1991,1991-05-01,1991-05-01,NA,NA,0.4530695454719999,Whiskey Creek
1,1991,JUN,2.1,JUN-1,1991,1991-06-01,1991-06-01,NA,NA,0.05946537784319999,Whiskey Creek
1,1991,JUL,0.72,JUL-1,1991,1991-07-01,1991-07-01,NA,NA,0.020388129546239996,Whiskey Creek
1,1991,AUG,1.2,AUG-1,1991,1991-08-01,1991-08-01,NA,NA,0.03398021591039999,Whiskey Creek
1,1991,SEP,0.99,SEP-1,1991,1991-09-01,1991-09-01,NA,NA,0.028033678126079993,Whiskey Creek
2,1991,OCT,1.5,OCT-2,1990,1990-10-02,1991-10-02,NA,NA,0.04247526988799999,Whiskey Creek
2,1991,NOV,1.8,NOV-2,1990,1990-11-02,1991-11-02,NA,NA,0.050970323865599985,Whiskey Creek
2,1991,DEC,1.5,DEC-2,1990,1990-12-02,1991-12-02,NA,NA,0.04247526988799999,Whiskey Creek
2,1991,JAN,2.4,JAN-2,1991,1991-01-02,1991-01-02,NA,NA,0.06796043182079999,Whiskey Creek
2,1991,FEB,2.7,FEB-2,1991,1991-02-02,1991-02-02,NA,NA,0.07645548579839999,Whiskey Creek
2,1991,MAR,3.4,MAR-2,1991,1991-03-02,1991-03-02,NA,NA,0.09627727841279997,Whiskey Creek
2,1991,APR,4.7,APR-2,1991,1991-04-02,1991-04-02,NA,NA,0.13308917898239997,Whiskey Creek
2,1991,MAY,13,MAY-2,1991,1991-05-02,1991-05-02,NA,NA,0.3681190056959999,Whiskey Creek
2,1991,JUN,2.3,JUN-2,1991,1991-06-02,1991-06-02,NA,NA,0.06512874716159997,Whiskey Creek
2,1991,JUL,0.67,JUL-2,1991,1991-07-02,1991-07-02,NA,NA,0.018972287216639995,Whiskey Creek
2,1991,AUG,1.4,AUG-2,1991,1991-08-02,1991-08-02,NA,NA,0.03964358522879999,Whiskey Creek
2,1991,SEP,1.2,SEP-2,1991,1991-09-02,1991-09-02,NA,NA,0.03398021591039999,Whiskey Creek
3,1991,OCT,1.5,OCT-3,1990,1990-10-03,1991-10-03,NA,NA,0.04247526988799999,Whiskey Creek
3,1991,NOV,1.9,NOV-3,1990,1990-11-03,1991-11-03,NA,NA,0.05380200852479998,Whiskey Creek
3,1991,DEC,1.5,DEC-3,1990,1990-12-03,1991-12-03,NA,NA,0.04247526988799999,Whiskey Creek
3,1991,JAN,2.4,JAN-3,1991,1991-01-03,1991-01-03,NA,NA,0.06796043182079999,Whiskey Creek
3,1991,FEB,2.7,FEB-3,1991,1991-02-03,1991-02-03,NA,NA,0.07645548579839999,Whiskey Creek
3,1991,MAR,3.1,MAR-3,1991,1991-03-03,1991-03-03,NA,NA,0.08778222443519998,Whiskey Creek
3,1991,APR,5.1,APR-3,1991,1991-04-03,1991-04-03,NA,NA,0.14441591761919995,Whiskey Creek
3,1991,MAY,10,MAY-3,1991,1991-05-03,1991-05-03,NA,NA,0.2831684659199999,Whiskey Creek
3,1991,JUN,2.1,JUN-3,1991,1991-06-03,1991-06-03,NA,NA,0.05946537784319999,Whiskey Creek
3,1991,JUL,0.59,JUL-3,1991,1991-07-03,1991-07-03,NA,NA,0.016706939489279996,Whiskey Creek
3,1991,AUG,1.3,AUG-3,1991,1991-08-03,1991-08-03,NA,NA,0.036811900569599994,Whiskey Creek
3,1991,SEP,0.71,SEP-3,1991,1991-09-03,1991-09-03,NA,NA,0.020104961080319995,Whiskey Creek
4,1991,OCT,1.5,OCT-4,1990,1990-10-04,1991-10-04,NA,NA,0.04247526988799999,Whiskey Creek
4,1991,NOV,1.9,NOV-4,1990,1990-11-04,1991-11-04,NA,NA,0.05380200852479998,Whiskey Creek
4,1991,DEC,2.1,DEC-4,1990,1990-12-04,1991-12-04,NA,NA,0.05946537784319999,Whiskey Creek
4,1991,JAN,2.4,JAN-4,1991,1991-01-04,1991-01-04,NA,NA,0.06796043182079999,Whiskey Creek
4,1991,FEB,2.7,FEB-4,1991,1991-02-04,1991-02-04,NA,NA,0.07645548579839999,Whiskey Creek
4,1991,MAR,3.5,MAR-4,1991,1991-03-04,1991-03-04,NA,NA,0.09910896307199998,Whiskey Creek
4,1991,APR,5.5,APR-4,1991,1991-04-04,1991-04-04,NA,NA,0.15574265625599995,Whiskey Creek
4,1991,MAY,9.3,MAY-4,1991,1991-05-04,1991-05-04,NA,NA,0.26334667330559997,Whiskey Creek
4,1991,JUN,2,JUN-4,1991,1991-06-04,1991-06-04,NA,NA,0.05663369318399999,Whiskey Creek
4,1991,JUL,0.63,JUL-4,1991,1991-07-04,1991-07-04,NA,NA,0.01783961335296,Whiskey Creek
4,1991,AUG,1.4,AUG-4,1991,1991-08-04,1991-08-04,NA,NA,0.03964358522879999,Whiskey Creek
4,1991,SEP,0.66,SEP-4,1991,1991-09-04,1991-09-04,NA,NA,0.018689118750719994,Whiskey Creek
5,1991,OCT,1.5,OCT-5,1990,1990-10-05,1991-10-05,NA,NA,0.04247526988799999,Whiskey Creek
5,1991,NOV,1.9,NOV-5,1990,1990-11-05,1991-11-05,NA,NA,0.05380200852479998,Whiskey Creek
5,1991,DEC,3.2,DEC-5,1990,1990-12-05,1991-12-05,NA,NA,0.0906139090944,Whiskey Creek
5,1991,JAN,2.4,JAN-5,1991,1991-01-05,1991-01-05,NA,NA,0.06796043182079999,Whiskey Creek
5,1991,FEB,2.4,FEB-5,1991,1991-02-05,1991-02-05,NA,NA,0.06796043182079999,Whiskey Creek
5,1991,MAR,3.3,MAR-5,1991,1991-03-05,1991-03-05,NA,NA,0.09344559375359997,Whiskey Creek
5,1991,APR,6,APR-5,1991,1991-04-05,1991-04-05,NA,NA,0.16990107955199996,Whiskey Creek
5,1991,MAY,8.6,MAY-5,1991,1991-05-05,1991-05-05,NA,NA,0.24352488069119996,Whiskey Creek
5,1991,JUN,2.1,JUN-5,1991,1991-06-05,1991-06-05,NA,NA,0.05946537784319999,Whiskey Creek
5,1991,JUL,1,JUL-5,1991,1991-07-05,1991-07-05,NA,NA,0.028316846591999994,Whiskey Creek
5,1991,AUG,1.3,AUG-5,1991,1991-08-05,1991-08-05,NA,NA,0.036811900569599994,Whiskey Creek
5,1991,SEP,1.2,SEP-5,1991,1991-09-05,1991-09-05,NA,NA,0.03398021591039999,Whiskey Creek
6,1991,OCT,1.6,OCT-6,1990,1990-10-06,1991-10-06,NA,NA,0.0453069545472,Whiskey Creek
6,1991,NOV,1.9,NOV-6,1990,1990-11-06,1991-11-06,NA,NA,0.05380200852479998,Whiskey Creek
6,1991,DEC,2.7,DEC-6,1990,1990-12-06,1991-12-06,NA,NA,0.07645548579839999,Whiskey Creek
6,1991,JAN,2.1,JAN-6,1991,1991-01-06,1991-01-06,NA,NA,0.05946537784319999,Whiskey Creek
6,1991,FEB,2.4,FEB-6,1991,1991-02-06,1991-02-06,NA,NA,0.06796043182079999,Whiskey Creek
6,1991,MAR,3.5,MAR-6,1991,1991-03-06,1991-03-06,NA,NA,0.09910896307199998,Whiskey Creek
6,1991,APR,16,APR-6,1991,1991-04-06,1991-04-06,NA,NA,0.4530695454719999,Whiskey Creek
6,1991,MAY,8.1,MAY-6,1991,1991-05-06,1991-05-06,NA,NA,0.22936645739519992,Whiskey Creek
