Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
1,1996,OCT,1.3,OCT-1,1995,1995-10-01,1996-10-01,NA,NA,0.036811900569599994,Wheatfields
1,1996,NOV,1.7,NOV-1,1995,1995-11-01,1996-11-01,NA,NA,0.048138639206399984,Wheatfields
1,1996,DEC,0.3,DEC-1,1995,1995-12-01,1996-12-01,NA,NA,0.008495053977599998,Wheatfields
1,1996,JAN,2.6,JAN-1,1996,1996-01-01,1996-01-01,NA,NA,0.07362380113919999,Wheatfields
1,1996,FEB,1.7,FEB-1,1996,1996-02-01,1996-02-01,NA,NA,0.048138639206399984,Wheatfields
1,1996,MAR,1.8,MAR-1,1996,1996-03-01,1996-03-01,NA,NA,0.050970323865599985,Wheatfields
1,1996,APR,4.2,APR-1,1996,1996-04-01,1996-04-01,NA,NA,0.11893075568639998,Wheatfields
1,1996,MAY,1.7,MAY-1,1996,1996-05-01,1996-05-01,NA,NA,0.048138639206399984,Wheatfields
1,1996,JUN,1.7,JUN-1,1996,1996-06-01,1996-06-01,NA,NA,0.048138639206399984,Wheatfields
1,1996,JUL,1.8,JUL-1,1996,1996-07-01,1996-07-01,NA,NA,0.050970323865599985,Wheatfields
1,1996,AUG,1.2,AUG-1,1996,1996-08-01,1996-08-01,NA,NA,0.03398021591039999,Wheatfields
1,1996,SEP,1.9,SEP-1,1996,1996-09-01,1996-09-01,NA,NA,0.05380200852479998,Wheatfields
2,1996,OCT,2.1,OCT-2,1995,1995-10-02,1996-10-02,NA,NA,0.05946537784319999,Wheatfields
2,1996,NOV,2.1,NOV-2,1995,1995-11-02,1996-11-02,NA,NA,0.05946537784319999,Wheatfields
2,1996,DEC,0.3,DEC-2,1995,1995-12-02,1996-12-02,NA,NA,0.008495053977599998,Wheatfields
2,1996,JAN,2.6,JAN-2,1996,1996-01-02,1996-01-02,NA,NA,0.07362380113919999,Wheatfields
